,smiles,frequency
0,O,1059
1,N,987
2,C=O,916
3,C,910
4,C1=CC=CC=C1,814
5,CC,568
6,C=C,327
7,CCC,312
8,Cl,232
9,F,164
10,S,147
11,C=N,136
12,CCCC,123
13,O=S=O,115
14,[O-],112
15,CCCCC,103
16,[CH]C,84
17,CC(C)C,81
18,C1=CNC=N1,67
19,C1=CC=NC=C1,66
20,CCCCCC,62
21,O=P,53
22,[CH]CC,52
23,C1=CC=C2NC=CC2=C1,46
24,[CH]CCC,43
25,CCC(C)C,37
26,[CH]CCCC,36
27,O=S,36
28,[CH]CC(C)C,35
29,[N+],34
30,[N+]=O,30
31,C#N,30
32,[CH][CH]C,29
33,C1=CSC=C1,28
34,[CH]C(C)C,28
35,C1=CSC=N1,27
36,C#C,24
37,C1CCCCC1,24
38,C1=CN=CN=C1,23
39,I,21
40,[CH]C(C)CC,20
41,[CH][CH][CH][CH][CH]C,19
42,C1=CC2=C(C=C1)NC=C2,18
43,[CH][CH],18
44,C1=CC=C2C=CC=CC2=C1,17
45,C1CC1,17
46,CCCC(C)CC,15
47,C[CH]C,15
48,CCCCCCC,14
49,Br,14
50,C1=NC=NC2=C1N=CN2,14
51,CCC1CCC2(C)CC(C)CC2C1CC,13
52,CCCC(C)C,13
53,C1CCCCCC1,12
54,C1=CON=C1,12
55,O=C1C=CNC(=O)N1,12
56,C[CH][CH][CH][CH]C,11
57,[Na+],11
58,C[CH]CC,11
59,CCC1CCC2(C)CCCC2C1CC,11
60,[CH][CH][CH][CH]C,11
61,C1=NC=NN1,11
62,CCC(C)C1CCC2(C)CCCC2C1CC,11
63,O=C1N=CC=CN1,11
64,C1=COC=C1,11
65,C1=NNN=N1,11
66,[CH]C[CH]C,10
67,C1=CC=C2N=CN=CC2=C1,9
68,[CH],9
69,C1=CC=C2NC=NC2=C1,9
70,C1=CC2=C(C=C1)NC=N2,9
71,O=C1C=CNC2=CC=CC=C12,9
72,O=C1NC(=O)C2=C(N=CN2)N1,8
73,CC1CC1,8
74,O=C1N=CNC2=C1N=CN2,7
75,C1=CN=CC=N1,7
76,[NH+],7
77,[Na+].[Na+],7
78,C1=CNN=C1,7
79,C1=CNC=C1,7
80,C1=CN=C2C=CC=CC2=C1,7
81,CCCCCCCC,6
82,O=C1C=CC=CN1,6
83,CCC1CCCC2(C)CCCC12,6
84,CCCC(C)CCC,6
85,[Ca+2],6
86,C1CCCC1,6
87,CCC(C)C(CC)CC,6
88,N=O,6
89,C[CH][CH]C,6
90,[Cl-],6
91,CCC(C)CC,6
92,[Br-],6
93,[N-],5
94,CC1CCCCC1,5
95,CCC1CCCCC1CC,5
96,[Gd+3],5
97,CC1CCCC1,5
98,CCCCC(C)C,5
99,[CH]CC1C(CC)[CH]CC2(C)CC(C)CC12,5
100,C1=NN=CN1,5
101,C=S,4
102,CCC1[CH]CCC2(C)CCCC12,4
103,CCC1[CH]CC2(C)CC(C)CC2C1CC,4
104,CCC1CCCCC1,4
105,[CH]C[CH][CH]C,4
106,[CH][CH][CH],4
107,[CH][CH][CH]C[CH]C,4
108,[CH][CH][CH][CH][CH],4
109,C[CH][CH]C(C)[CH]CC,4
110,C[CH]CCC,4
111,CCCC(CC)CC,4
112,[Fe+3],4
113,CCCCCCCCC,4
114,C1=CC2=C(C=C1)C=CC=C2,4
115,C1=CC2=C(C=C1)N=CC=C2,4
116,CCCCCCCCCC,4
117,CC1[CH][CH]C[CH]1,4
118,[NH2+],4
119,C1=CC=C2N=CC=CC2=C1,4
120,[CH]C(C)[CH]C(C)[CH]C(C)[CH][CH]C,4
121,[CH]CC(C)[CH][CH]C,4
122,O=C1C=CN=CN1,3
123,CCC1CCCCC1C,3
124,CCC1CCCC1,3
125,[CH][CH]C[CH],3
126,[CH]CC1[CH]CCCC1,3
127,C1=CC=[N+]C=C1,3
128,[C-]#N,3
129,[CH]C(C)(C)C,3
130,C[CH]C[CH]C,3
131,C[CH][CH]C(C)[CH]C(C)C[CH]C,3
132,CCCCCC(C)C,3
133,CCCC1(C)CCCC1CC,3
134,CCCC1C(CC)CCC2(C)CCCC12,3
135,[Gd+3].[H+].[H+],3
136,C1=CC2=C(C=C1)ON=C2,3
137,[Fe],3
138,CCCC(C)CC(C)CCC,3
139,C[CH]C(C)C,3
140,C[CH]C(CC)CC,3
141,[NH3+],3
142,CCC1[CH]C[CH]C(CC)[CH]1,3
143,O=C1NC2=CC=CC=C2N1,3
144,C1C2CC3CC1CC(C2)C3,3
145,O=C1C=CNC=N1,3
146,O=C1N=CNN1,3
147,O=C1NC=NN1,3
148,O=C1C=COC2=CC=CC=C12,3
149,O=C1OC=CO1,3
150,CCC(C)CC(C)CC,3
151,C1=NN=NN1,3
152,CCC(CC)C(C)C,2
153,CCCC1CCCC1(C)CC,2
154,CCCC1CCC2(C)CCCC2C1CC,2
155,CCC(C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C,2
156,C1=NN=CS1,2
157,C1=CC2=C(C=C1)SC=C2,2
158,[Li+],2
159,[K+],2
160,[NH+]=O,2
161,C1=NSN=C1,2
162,CCCC1C(C(C)CC)CCC2(C)CCCC12,2
163,C1=CC2=C(C=C1)SC=N2,2
164,CCC(CC1C(C)CCCC1C)C(C)C,2
165,[N-]=[N+]=N,2
166,[N-]=O,2
167,[Pt+2],2
168,[Mg+2],2
169,C1=CC2=C(C=C1)N=CN=C2,2
170,[Se],2
171,[CH]CC(C)C1CCCCC1,2
172,C1=CC2=CC=C(C=CN=CC=C3C=CC(=CC=N1)N3)N2,2
173,CCCCCCCCCCCCCCC,2
174,C1=CC=C2NN=CC2=C1,2
175,C1=CC2=C(C=C1)OC=C2,2
176,B,2
177,[Zn],2
178,C1=CC2=C(C=C1)OC=N2,2
179,CCCCCCCCCCCCCCCCCC,2
180,CCCCCCCCCCCCCCCCC,2
181,CCCCC(CC)C1CCCC1(C)CC,2
182,CCC(C)CC1CCCCC1,2
183,C1=CC2=NC=CN=C2C=C1,2
184,CCC1CCCC(C)C1CC,2
185,CCC1[CH]CC2(C)C[CH]CC2C1CC,2
186,CCC1[CH]CC2(C)CCCC2C1CC,2
187,CC12CCCC1C1CCC3CCCCC3(C)C1CC2,2
188,CC12[CH][CH]CC1C1CCC3C[CH][CH]CC3(C)C1CC2,2
189,O=C1C=COC2=C1C=CC=C2,2
190,CCCC(C)(C)C(C)CC(C)C(C)CC,2
191,CCCC(C)(C)C,2
192,CCC(C)C(C)C,2
193,CCC1[CH]CCC2(C)[CH]CCC12,2
194,CC(C1CC1)C1CCC2(C)CCCC2C1,2
195,O=C1N=CN=CN1,2
196,O=C1C=CNC=C1,2
197,O=C1C=CNC2=NC=CC=C12,2
198,C=[N+],2
199,S=S,2
200,C=C1C=CSC1=N,2
201,CCC1[CH]CCC2(C)[CH][CH]CC12,2
202,CCCCC(C)CC,2
203,C1=NC=NC2=C1NC=N2,2
204,[CH]C(CC)C([CH]C)CC,2
205,CCC(C)C1CCC2(C)C(C)CCC2C1CC,2
206,P=S,2
207,C1=CC=C2SN=CC2=C1,2
208,C1=CN=CC=C2C=CC(=CC3=CC=C(C=CN=C1)N3)N2,2
209,C1=CN=C2N=CN=CC2=N1,2
210,CCC1CCCC1C,2
211,[CH][CH][CH][CH],2
212,C1CCCCCCC1,2
213,S=C1N=CNC2=C1NC=N2,2
214,C=C1C=CC=CC1=N,2
215,S=C1NC=CN1,2
216,O=C1N=CNO1,2
217,[CH][CH]CC,2
218,[CH][CH]C(C)C,2
219,CC1CCC1,2
220,CC(C)(C)C,2
221,[Li+].[OH-],1
222,C1=CC2=C(C=C1)NN=C2,1
223,C1=CC2=C(C=C1)[N-]C=N2,1
224,C1=CC2=C(N=C1)NN=C2,1
225,C1=CC2=C(N=CN=C2)N1,1
226,C1=CC2=CC=C3C=CC=CC3=C2C=C1,1
227,C1=CC2=CN=CN=C2N1,1
228,C1=CC2=CNN=C2C=C1,1
229,C1=CC2=NC=CN2C=C1,1
230,C1=CC2=NC=CN2N=C1,1
231,C1=CC2=NON=C2C=C1,1
232,C1=CC2=NSN=C2C=C1,1
233,[CH]C[CH][CH],1
234,[CH]C[CH][CH][CH]C,1
235,[CH][CH]C([CH])C,1
236,[CH][CH]C([CH][CH]C)CC,1
237,[CH][CH]CC[CH],1
238,[CH][CH]C[CH]CCC[CH][CH][CH]C[CH],1
239,[CH][CH]C[CH][CH]C,1
240,[Cf].[Cf].[O-2].[O-2].[O-2],1
241,C1CCC1,1
242,[CH]CC1CCCCC1C,1
243,[CH]CC1[CH]C1,1
244,[CH]CC1[CH]CCC1,1
245,[CH]CCCCC,1
246,[CH]CCC[CH]C,1
247,[CH]CC[CH],1
248,[CH]C[CH]C(C)CCCC(C)[CH][CH]C,1
249,C1=NC=NC2=C1N=CN=C2,1
250,C1=NC=NC2=C1N=NN2,1
251,C1=NC=NC=N1,1
252,C1=NC=NS1,1
253,C1=NN=CO1,1
254,C1=NNN=C1,1
255,C1=N[N+]=CS1,1
256,C1CCC(C2CCCCC2)CC1,1
257,CC1(C)CCCCC1,1
258,CC1(C)[CH][CH]1,1
259,CC12CC3CC(C1)CC(C)(C3)C2,1
260,CC1C2CCC(C2)C1(C)C,1
261,CC1CC1C,1
262,CC1CCC2C(CCC3(C)C(C)CCC23)C1(C)C,1
263,CC1CCC2C3CCC(C)C(C)(C)C3CCC12C,1
264,CC1CCCC1C,1
265,CCCC(CC)C1CCCC1(C)C,1
266,CCCC1(C)CCCC1C(C)CCCC(C)C,1
267,CCCC1CCC2(CC)CCCC2C1CC,1
268,CCCC1CCCCC1,1
269,CCCCC(C)(C)C,1
270,CCCCC(C)CCCC(C)CC,1
271,CCCCC(CC)CC,1
272,CCCCCC(C)CCC,1
273,CC[CH][CH][CH]C,1
274,CC[CH][CH][CH][CH][CH]C,1
275,C[CH]C(C)CC1C[CH][CH]CC1,1
276,C[CH]C([CH]CCCCCC)CCCCCCCC,1
277,C[CH]C1C(C(C)CC)CCC2(C)C(CC)CCC12,1
278,CCCC(C)CC(C)CC(C)C,1
279,CCCC(C)CCCC(C)CCCC(C)C,1
280,CCCC(CC)C1CC(C)CC1(C)C,1
281,CCP(CC)CCP(CC)CC,1
282,CC[CH]C,1
283,CC[CH]C(C)C,1
284,CC[CH]C1CCC2(C)CCCC2C1CC,1
285,CC[CH]C1CCC2(C)[CH]CCC2C1CC,1
286,CC[CH]C1CCC2(CC)CCCC2C1CC,1
287,CC[CH]CC,1
288,CC[CH]CCCCCC,1
289,CCCCCCCCC(C)CC(C)CC,1
290,CCCCCCCCCC(C)C1[CH]CCC2(C)[CH]CCC12,1
291,CCCCCCCCCCCCC,1
292,CCCCCCCCCCCCCC,1
293,CCCCCCCCCCCCCCCCCCCCC,1
294,CCCCCCCCCCCCCCCCCCCCCC,1
295,CCCCC[CH]CCC1[CH]CC(C)C1C,1
296,CCC[CH][CH]C(CC)C1CCCC1(C)CC,1
297,CCC1C(C(C)C)CCC2(C)CCCC12,1
298,CCC1CC2CCC1(CC)CC2C(C)C(C)(C)C,1
299,CCC1CCC(C)C(CC)C1C,1
300,CCC1CCC(C)C(CC)C1CC,1
301,CCC1CCC1,1
302,CCC1CCC2(C)C[CH]CC2C1CC,1
303,CCC1CCC2CC1C2(C)C,1
304,CCC1CCCC(CC)C1,1
305,C[CH][CH][CH]C1[CH]C[CH]C1,1
306,C[CH][CH][CH]CC,1
307,C[CH][CH][CH]CCCCCC,1
308,N#[N+],1
309,N=C1C=CN=CC1=N,1
310,N=C1N=CC=CN1,1
311,N=N,1
312,CCC12[CH]C(C)([CH]CC(C)[CH]C1C)C(C)CC2,1
313,C[CH]CCCC,1
314,C[CH]CCCCCCC(C)[CH]C(C)C,1
315,C[CH]CCCCCCC(C)[CH]C(C)CC,1
316,C[CH]CC[CH]C,1
317,C[CH]C[CH][CH]C,1
318,C[CH]C[CH][CH]C([CH]C)CC[CH]C[CH]C,1
319,C[CH][CH]C(C)C[CH]C,1
320,C[CH][CH]CC,1
321,CCCCCC1CCCC1C,1
322,CCCCCCC(C)C,1
323,CCCCCCC(C1CCCCC1)C1CCCCC1,1
324,CCCCCCC(CC)CCCC,1
325,C[CH]C1CC[CH]C1(C)CCC,1
326,C[CH]C1[CH]CC2C[CH]CCC2C1,1
327,C[CH]CC1C(C(C)CC)CCC2(C)CCCC12,1
328,C[CH]CCC(C)C1CCC(C)C(C)C1C,1
329,CC1C[CH]CC1C,1
330,CC1[CH]C1,1
331,CC1[CH]CCC2C1CCC1(C)[CH]CCC21,1
332,CCC(C)(CC)CC,1
333,CCC(C)C(C)CC,1
334,CCC(C)C1CCC2(C)C(CC)C3CC3C2C1C1[CH]C1,1
335,CCC(C)C1CCC2(C)C(CC)CCC2C1CC,1
336,CCC(C)C1CCC2(C)CCCC2C1,1
337,O=C1C=NNC=N1,1
338,O=C1N=CNC2=C1C=CC=C2,1
339,O=C1N=CNC2=C1C=CN2,1
340,O=C1N=CNC2=C1NN=C2,1
341,O=C1N=CNC2=NC=CN=C12,1
342,O=C1N=CNN2C=NC=C12,1
343,CC1CCCC2C1CCC1(C)CCCC21,1
344,CC1CCCCC1C,1
345,O=C1C=CC=CC=C1,1
346,O=C1C=CN=C2C=CC=CN12,1
347,O=C1C=CNC(=S)N1,1
348,O=C1C=CNC2=C1C=CC=C2,1
349,O=C1C=CNC2=C1C=CC=N2,1
350,O=C1C=CNC2=CC3=C(C=C12)C(=O)C=CO3,1
351,O=C1C=CNN1,1
352,O=C1C=NNC2=CC=CC=C12,1
353,CCC1[CH]CC2(C)C(C)C(C)CC2C1CC,1
354,CCC1[CH]CC2(C)CCCC2C1C[CH]C,1
355,CCC1[CH]CCC(C)C1CC,1
356,CCC1[CH]CCCC1,1
357,O=C1C2=CC=CN=C2OC2=C1C=CC=C2,1
358,O=C1C=C2NC(=O)NC(=O)C2=CN1,1
359,O=C1C=CC2=CC3=C(C=C2O1)OC=C3,1
360,O=C1C=CC2=CC=CC=C2N1,1
361,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2],1
362,[CH2]C,1
363,[CH]1CC1,1
364,[CH]1CC[CH]CCC1,1
365,[CH]1[CH]C1,1
366,[CH]1[CH]C2CCC1C2,1
367,[CH]1[CH]CCC1,1
368,[CH]1[CH]CCCC1,1
369,[Ag+],1
370,[Ag],1
371,[As+3].[As+3].[O-2].[O-2].[O-2],1
372,[As],1
373,[Au+].[Na+].[Na+],1
374,[Au].[Au],1
375,[Ba+2],1
376,[Ba+2].[H-].[H-],1
