,smiles,frequency
0,O,4924
1,C,4025
2,C=O,4013
3,C1=CC=CC=C1,3918
4,N,3456
5,CC,2092
6,C=C,1344
7,Cl,1219
8,CCC,1115
9,[O-],744
10,O=S=O,567
11,F,547
12,S,493
13,CCCC,481
14,C=N,364
15,[N+]=O,343
16,CC(C)C,330
17,CCCCC,307
18,C1=CC=NC=C1,258
19,Br,212
20,C#N,198
21,[CH]C,189
22,O=P,152
23,C1=CC=C2C=CC=CC2=C1,148
24,[N+],141
25,O=S,141
26,CCCCCC,131
27,CCCCCCCC,109
28,C1=CC=C2NC=CC2=C1,107
29,C1=CN=CN=C1,90
30,C1=CNC=N1,89
31,CCCCCCC,89
32,[CH][CH][CH][CH][CH]C,88
33,I,81
34,[CH]CC,81
35,C[CH]C,79
36,CCC(C)C,79
37,[CH][CH],77
38,C1=CSC=C1,76
39,C1CCCCC1,76
40,C=S,72
41,C1=CSC=N1,70
42,C#C,68
43,[Si],64
44,C1=COC=C1,62
45,P=S,60
46,N=N,54
47,CCCCCCCCCCCC,52
48,[CH][CH]C,50
49,CCCCC(C)CC,50
50,[CH]CCC,49
51,C1=CNC=[N+]1,49
52,[CH]C(C)C,48
53,[CH][CH][CH][CH]C,48
54,C1=CC=C2NC=NC2=C1,46
55,[CH],46
56,CCCC(C)C,45
57,CCCCCCCCCC,44
58,C1=NC=NC=N1,42
59,N=O,40
60,[N-],39
61,C1=CC=[N+]C=C1,39
62,C1=CN=C2C=CC=CC2=C1,36
63,C1=CC=C2N=CC=CC2=C1,36
64,C1=NC=NN1,36
65,CCCCCCCCC,34
66,C1CC1,33
67,CC(C)(C)C,33
68,CCCCCCCCCCC,30
69,C[CH][CH][CH][CH]C,29
70,CCC(C)CC,28
71,C1=CC=C2SC=NC2=C1,27
72,C1=CNN=C1,27
73,C[CH]CC,26
74,C1=CON=C1,25
75,C1=NN=NN1,25
76,CCCCCCCCCCCCCCCC,24
77,CCCCCCCCCCCCCC,23
78,C1CCCC1,23
79,O=C1C=CNC(=O)N1,23
80,[CH]C[CH][CH][CH]C,23
81,O=C1C=CNC2=CC=CC=C12,23
82,[CH]CC(C)C,23
83,O=C1NC(=O)C2=C(N=CN2)N1,22
84,O=C1C=COC2=CC=CC=C12,21
85,[S-],21
86,O=C1C=CC2=CC=CC=C2O1,21
87,[B-],20
88,[CH]CCCC,20
89,C1=CC2=C(C=C1)NC=C2,20
90,C1=CNC=C1,20
91,CCCCCCCCCCCCCCC,20
92,C1=CN=CC=N1,20
93,C[CH]CCC,19
94,[Sn],18
95,CC(C)CC(C)(C)C,18
96,CCC(C)(C)C,17
97,[CH]C[CH]C,17
98,CC(C)CCCC(C)C,17
99,C1=NC=NC2=C1N=CN2,16
100,[CH]CC(C)[CH][CH]C,15
101,CCC1[CH]CC2(C)CC(C)CC2C1CC,15
102,CCCCCCCCCCCCC,15
103,[CH]1C[CH]CC[CH]C1,13
104,CCC1[CH]CCC2(C)[CH]CCC12,13
105,CCCCCCCCCCCCCCCCC,13
106,CCCCCCCCCCCCCCCCCC,13
107,CCCCCC(C)C,13
108,[CH]C[CH][CH]C,13
109,C=[N+],13
110,C[CH][CH]C,13
111,O=C1N=CC=CN1,12
112,C1=NC=C2N=CNC2=N1,12
113,CCC(C)C1CCC2(C)[CH]CCC2C1CC,12
114,[CH]1[CH][CH]C[CH][CH]1,12
115,C1=NN=CN1,12
116,CCC(C)C1[CH]CC2(C)CCCC2C1CC,12
117,C[CH][CH][CH]C,12
118,CCC1CCCCC1,11
119,[CH][CH][CH]C[CH]C,11
120,[P+],11
121,CC1CCCCC1,11
122,O=C1NC2=CC=CC=C2N1,11
123,C1=NN=CS1,11
124,O=C1C=CC=CN1,11
125,CCC(CC)CC,11
126,C1=CC=C2OC=CC2=C1,11
127,C1=CC=C2C=C3C=CC=CC3=CC2=C1,11
128,[Hg],10
129,P,10
130,C1=CC2=CN=CN=C2C=C1,10
131,CC1(C)CC1,10
132,CC1CC1,10
133,CC1(C)[CH][CH]1,10
134,O=C1C=CNN1,10
135,O=C1C=CNC2=C1C=CC=C2,9
136,C[CH],9
137,[CH]1[CH][CH][CH][CH][CH]1,9
138,C1=COC=N1,9
139,C[CH][CH]C[CH]C,9
140,CCC1[CH]CC2(C)C[CH]CC2C1CC,9
141,CC(C)C(C)C,9
142,CC[CH][CH][CH]C,9
143,O=C1NC(=O)NC(=O)N1,9
144,CC1CCCC1,8
145,C[CH][CH]C(C)[CH]CC,8
146,CCC1[CH]CC2(C)CCCC2C1CC,8
147,C[CH][CH]CC,8
148,CCCCCCC(C)C,8
149,C[CH]C(C)C,8
150,[AlH3],8
151,C1=CC=C2C(=C1)C=CC1=CC=CC=C12,8
152,O=C1NC=NC2=CC=CC=C12,7
153,[CH]C[CH][CH],7
154,[CH]CC1[CH][CH][CH]CC1C,7
155,C[CH]C[CH]C,7
156,O=C1NC=NN1,7
157,O=[As],7
158,C1=CC=C2NN=CC2=C1,7
159,CC12[CH]CC(CC1)C2(C)C,7
160,CC1CCC(C(C)C)CC1,7
161,CCC(C)CCCC(C)CCCC(C)CCCC(C)C,7
162,[CH][CH]C(C)C,7
163,C1=CC=C2C=NC=CC2=C1,7
164,C[CH]C(C)C(C)CC,7
165,[Zn+2],7
166,CCCCCCCC(C)C,7
167,CCCC(C)CC,7
168,[CH]CC1C(CC)[CH]CC2(C)CC(C)CC12,7
169,B,6
170,C[CH]C1CC[CH]C1(C)CCC,6
171,C1=CC2=NC=CN=C2C=C1,6
172,C1=CC=C2C=NN=CC2=C1,6
173,CCC(C)CCCC(C)C,6
174,CCCC(C)CCC,6
175,C[CH][CH]C(C)[CH]C(C)C[CH]C,6
176,CCC(C)C(C)C,6
177,CC(C)(C)C1CCCCC1,6
178,[CH]1CC[CH]CC1,6
179,C1=CC=C2N=C3C=CC=CC3=CC2=C1,6
180,[CH]C(C)CC,6
181,CC1[CH][CH]C[CH]1,6
182,O=C1C=CC=NN1,6
183,C1=NC=NO1,6
184,C[CH]C1[CH]C[CH]C(CC)[CH]1,5
185,[CH][CH]C([CH][CH]C)CC,5
186,C1=CN=NC=C1,5
187,CC1C[CH]C(C)(CCC(C)C2(C)[CH]C3(C)CC[CH]C(C)(C)C3CC2)CC1,5
188,O=C1NC=NC2=C1N=CN2,5
189,[Se],5
190,O=C1NC2=CC=CC=C2O1,5
191,CCCC(C)(C)C,5
192,C1=CC2=NC=CN2C=C1,5
193,CC[CH]C(C)C,5
194,O=C1C=CNC=N1,5
195,O=C1C=COC2=C1C=CC=C2,5
196,C1=CC=C2C(=C1)NC1=CC=CC=C12,5
197,C1=CC=C2N=CN=CC2=C1,5
198,[CH]C(C)[CH]C(C)[CH]C(C)[CH][CH]C,5
199,[CH]C(CC)C([CH]C)CC,5
200,CCC(C)CCC(C)C,5
201,C1CCC1,5
202,CCC1[CH]CCC2(C)CCCC12,5
203,CC12[CH][CH]CC1C1CCC3C[CH][CH]CC3(C)C1CC2,5
204,C1=CC=C2SC=CC2=C1,5
205,[CH][CH][CH][CH][CH],5
206,[CH][CH]CC([CH]C)CC,5
207,CC(C)CCC(C)C,5
208,[CH]C(C)(C)C,5
209,O=C1C=CN=CN1,5
210,CC(C)CC(C)C,5
211,C[CH]CCCCCC,5
212,CCCC1CCCCC1,5
213,C1=NN=CO1,5
214,CC1CCC(C)CC1,5
215,O=C1C=CC2=CC=CC=C2N1,5
216,C1=CC2=NNN=C2C=C1,5
217,CC[CH]C1CCC2(C)[CH]CCC2C1CC,4
218,C[CH]C(CC)CC,4
219,O=C1C=COC=C1,4
220,[Na+],4
221,[NH+],4
222,CCC(C)C1CCC2(C)CCCC2C1CC,4
223,O=C1C=CC=CC=C1,4
224,O=C1C=CSN1,4
225,CC1CCCC1C,4
226,[CH][CH][CH][CH],4
227,CC1(C)CCCCC1,4
228,O=C1C=CNC(=S)N1,4
229,O=C1C=CC2=C(C=C3OC=CC3=C2)O1,4
230,[CH]CCCCC,4
231,[CH][CH][CH][CH][CH][CH][CH]C,4
232,[CH][CH][CH]C(C)C,4
233,CCCCC(C)C,4
234,CC1(C)CCCC1,4
235,CC12[CH]CCC1C1CCC3C[CH]CCC3(C)C1C[CH]2,4
236,[CH]1[CH][CH]C[CH]C[CH]1,4
237,CCC(C)CC(C)CC,4
238,O=C1C=CC=CO1,4
239,C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C43,4
240,[CH][CH][CH],4
241,[CH][CH][CH]C,4
242,CCC1[CH]C[CH]C(CC)[CH]1,4
243,C1CCCCCC1,4
244,CCC(CC)C(C)C,4
245,[CH][CH]CC,4
246,C1=CC=C2ON=CC2=C1,4
247,[CH]1CC[CH]CCC1,4
248,CCC1[CH]CC2(C)CCCC2C1C[CH]C,4
249,[CH]CC(C)CCC,4
250,C[CH]CCC(C)C1CCC(C)C(CC)C1C,4
251,C[CH]CC(C)C,4
252,CC(C)C1CCCC1,4
253,CC[CH]C[CH]C,4
254,C[CH][CH]C(C)CC,4
255,CC[CH]C1CCC2(CC)CCCC2C1CC,4
256,C[CH]C1CCCCC1CC,4
257,O=C1C=CNC2=C1C=CC=N2,4
258,C1=CNN=N1,3
259,CCC(C)C1[CH]C2CCCC2(C)CC1,3
260,C1=CC=C2OC=NC2=C1,3
261,[CH]C1CCCCC1,3
262,[Au],3
263,[Ba+2],3
264,[CH]CC[CH]C,3
265,[CH]C(C)[CH]C,3
266,[CH]1[CH]C1,3
267,[CH]C[CH],3
268,[CH]1[CH]CC[CH]C1,3
269,O=C1NSC2=CC=CC=C12,3
270,O=C1OC=CO1,3
271,C1=CC=C2SN=CC2=C1,3
272,O=C1NC(=O)C2=CC=CC=C2N1,3
273,C1C2CC3CC1CC(C2)C3,3
274,CC1CCCC(C)(C)C1,3
275,C1=C[N+]=C2C=CC=CC2=C1,3
276,O=C1N=CNC2=C1N=CN2,3
277,[CH]1[CH]C[CH]CC[CH]1,3
278,CCC(C)C(C)(C)C,3
279,CC1(C)CCCC(C)(C)C1,3
280,CCC(C)(C)C1CCCCC1,3
281,CCC(C)C1CCC2C3[CH]CC4C[CH]CCC4(C)C3C[CH]C12C,3
282,CCCC1C[CH][CH]CC1,3
283,CCCC1(C)[CH]CCC1C(C)CCCC(C)C,3
284,CCCC(CC)CC,3
285,O=C1C=CN=C2C=CC=CN12,3
286,C[CH]CCC[CH]C,3
287,C[CH]CCC(C)C1CCC2(C)[CH]CCC2C1C,3
288,C[CH]CC[CH]CC,3
289,[CH]C(C)CC(C)[CH][CH][CH]C,3
290,[S+],3
291,[CH]CC1[CH][CH]CCC1C,3
292,[Pt],3
293,[CH]CC(C)CC,3
294,[Cu+2],3
295,[CH][CH]CCCC,3
296,[CH]CC1C(CC)[CH]CC2(C)C[CH]CC12,3
297,C1=CC=C2NN=NC2=C1,3
298,CC[CH]C1CCC2(C)CCCC2C1CC,3
299,C1CC2C3CCC(C3)C2C1,3
300,CC[CH]C1(C)CCCC(C)C1C,3
301,C1=CC2=NC=NN2C=N1,3
302,C[CH]C(C)CCC,3
303,C1CCC(C2CCCCC2)CC1,3
304,C1CCCCCCCCCCC1,3
305,O=C1NN=CC2=CC=CC=C12,3
306,C1=NN=N[N-]1,3
307,[Fe+3],3
308,C1=CSC=[N+]1,3
309,C[CH]CC1C(C(C)CC)CCC2(C)CCCC12,3
310,C1=CC2=C(C=C1)SC=N2,3
311,[CH][CH]C[CH][CH]C,3
312,C[CH][CH]C(C)[CH]C,3
313,C[CH][CH]CC(C)C,3
314,CC(C)[CH]CCC(C)C,2
315,CC([CH])C[CH]C,2
316,C1=CN[N+]=C1,2
317,C1CCC2C3[CH][CH]C(C3)C12,2
318,C1=NNN=N1,2
319,C[CH]CCC(C)C1CCC(C)C(C)C1C,2
320,C1CCC2CC[CH]C12,2
321,CCC1[CH]CCC2(C)[CH][CH]CC12,2
322,C1=NC=NS1,2
323,C=[N-],2
324,CCC1[CH]CCC(C)C1CC,2
325,C1CCC2CCCCC2C1,2
326,C1CC2CCCC2C1,2
327,C1CCC(CC2CCCCC2)CC1,2
328,C[CH]C[CH]CC,2
329,[Ca+2],2
330,[CH]CCCC(C)[CH]CCC([CH]C)CC,2
331,[CH]CC[CH],2
332,CCC1C(C)CCCC1C,2
333,C[CH]C(C)C1[CH][CH]CCC1C,2
334,C[CH]C(C)CC1C[CH][CH]CC1,2
335,C[CH]C1CC[CH][CH]C1CC,2
336,CC([CH])CCCC,2
337,CC[CH]C,2
338,CCCCCCC(C)CC,2
339,[Sb],2
340,[NH3+],2
341,[NH2+],2
342,[O],2
343,C1=CC2=C(C=C1)C=CC=C2,2
344,[Zn],2
345,CC[CH]C1CC[CH]C1C,2
346,C[CH]C[CH][CH]C,2
347,C[CH]C[CH][CH]C([CH]C)CC[CH]C[CH]C,2
348,C1=NC=C2N=CC=NC2=N1,2
349,C1=NC=C2N=CN=CC2=N1,2
350,C1=CON=[N+]1,2
351,C1=NC=NC2=C1NC=N2,2
352,C1=CC=C2SC=[N+]C2=C1,2
353,[CH][CH][CH][CH]CC,2
354,[CH][CH]C([CH])C,2
355,[CH][CH]C1CCCCC1,2
356,C1=CN2N=CC=C2N=C1,2
357,C1=CN2N=CN=C2N=C1,2
358,C1=CC=C2[N+]=CC=CC2=C1,2
359,C1=CN=C2N=CN=CC2=N1,2
360,C1=CN=C2N=CNC2=C1,2
361,[CH][CH][CH]CC,2
362,[CH]CCC(C)[CH]CC,2
363,[SiH],2
364,CC1CCCCC1C,2
365,CC1C[CH]C1(C)C,2
366,CC1CCCC(C)C1,2
367,CC12CCC(C1)C(C)(C)C2,2
368,CC1CC[CH]CC1,2
369,CC1C[CH]C(C(C)C)CC1,2
370,O=C1NC2=CC=CC=C2S1,2
371,C[CH]CC(C)[CH]C(C)[CH]C,2
372,O=C1C=CNC2=NC=NC=C12,2
373,O=C1C=CNC=C1,2
374,O=C1C=CON1,2
375,O=C1C=NN=CN1,2
376,O=C1C=NNC(=O)N1,2
377,O=C1N=CNC(=O)N1,2
378,CC(C)CCCC(C)C1[CH]CC2C3CCC4C[CH]CCC4(C)C3CCC12C,2
379,S=C1NC2=CC=CC=C2N1,2
380,O=C1C=CNC2=NC=CC=C12,2
381,[N+]=N,2
382,[Ni],2
383,[Ti],2
384,C1=CC=C2C(=C1)NC1=C2C=CC=C1,2
385,C1=CC=C2N=CC=NC2=C1,2
386,C1=CC=C2C=C3C(=CC2=C1)C=CC1=CC=CC=C13,2
387,C1=CC=C2C=[N+]C=CC2=C1,2
388,C1=CC=C2[N-]C=NC2=C1,2
389,[Mn+2],2
390,[N-]=[N+]=N,2
391,C1=CC2=CC=C(C=CN=CC=C3C=CC(=CC=N1)N3)N2,2
392,C1=CC2=NON=C2C=C1,2
393,C1=CC2=[N+]C=C[N+]=C2C=C1,2
394,[Na],2
395,[Gd+3],2
396,[Co+],2
397,[K+],2
398,[Mg+2],2
399,C1=CC=C2[O+]=C3C=CC=CC3=CC2=C1,2
400,[CH]C([CH])C,2
401,CC12[CH]CCC1C1CCC3C[CH]CCC3(C)C1CC2,2
402,CC1CC2CC1C1CCC(C)C21,2
403,CCC(C)C1[CH]C2CCC(CC)C2(C)CC1,2
404,CCC(C)CC(C)(C)C,2
405,CCC(C)[CH]C(CC)C1CCCC1(C)C,2
406,C[CH][CH][CH]CCCCCC,2
407,C1=CC=C2[S+]=C3C=CC=CC3=NC2=C1,2
408,S=C1NC=CN1,2
409,CCC12[CH]C(C)([CH]CC(C)[CH]C1C)C(C)CC2,2
410,C=[N+]=[N-],2
411,CC(C)CC(C)[CH][CH]CC,2
412,[CH]CC([CH]C1C(C)[CH]C[CH]C1C)C(C)C,2
413,[CH]CC1C(CC)[CH]CC2(C)CCCC12,2
414,[CH]CC1C(CC)[CH]CC2(C)[CH]C(C)CC12,2
415,[CH]CC1[CH]CCCC1,2
416,[CH]1[CH][CH]C[CH]1,2
417,[CH]CC1CCCCC1C,2
418,CCC1CCCC1,2
419,[CH]1[CH]CCCC1,2
420,O=C1NN=NC2=CC=CC=C12,2
421,CC1CCC2C3CCC(C)C(C)(C)C3CCC12C,2
422,CC1CCC(C)C1(C)C,2
423,O=C1N=CN=CN1,2
424,CCC(C)(C)CC,2
425,CC1[CH]CCC2C1CCC1(C)[CH]CCC21,2
426,CCC(C)C1CCC(C)C(CC)C1CC,2
427,[CH]C(C)C1CCC(C)C(CCCC)C1[CH],2
428,CCC(C)C1CCC(C)C(C)C1CC,2
429,O=C1C2=CC=CC=C2SC2=C1C=CC=C2,2
430,O=C1C=CC1=O,2
431,CC(C)CC[CH]C[CH],2
432,CC(C)C[CH][CH][CH]CC(C)C,2
433,CC1(C)[CH]CCC1C1[CH]C2(C)CC[CH]CC2CC1,2
434,CC([CH])[CH][CH],2
435,C1CC[CH]CC1,2
436,C1C[CH][CH][CH]C1,2
437,CCC(C)C(C)CC,2
438,C1=CC2=C(N=CN=C2)N1,1
439,C1=CC2=C(C=C1)N1C=NN=C1S2,1
440,[Mn+],1
441,[N-]=[N+]=[N-],1
442,[Hg+2],1
443,[I-].[K+],1
444,[In],1
445,[Li+],1
446,[Fe+2],1
447,[Fe-2],1
448,[Fe-],1
449,[Ge],1
450,[H+],1
451,[H]C([H])([H])[CH]C,1
452,[Cl+3],1
453,[Co+2],1
454,[Na+].[Na+],1
455,[Nd],1
456,[Ni+2],1
457,C1=CN2N=CC=NC2=N1,1
458,C1=CN=C2C(=C1)C=CC1=CC=CN=C12,1
459,C1=CC=C2[N+]=C3C=CC=CC3=CC2=C1,1
460,C1=CC=C2[N+]=CC=[N+]C2=C1,1
461,[Cr+3],1
462,[Cr],1
463,[Cu],1
464,[Dy],1
465,C1=CC=C2C(=C1)C=CC1=C2C=CC=C1,1
466,C1=CC=C2C(=C1)C=CC1=C2N=C2C=CC=CN21,1
467,C1=CC=C2C(=C1)C=CC1=C3C=CC=CC3=CC=C21,1
468,C1=CC=C2C(=C1)C=CC1=CC3=C(C=CC4=CC=CC=C43)C=C12,1
469,C1=CN=C2NC=NC2=C1,1
470,C1=CN=C2NN=CC2=C1,1
471,C1=CC=NN=C1,1
472,C1=CC=[NH+]C=C1,1
473,[Cd],1
474,[CH][CH][CH]C[CH],1
475,[CH][CH][CH][CH]C(C)C,1
476,[CH][CH]C[CH],1
477,[CH][CH]C[CH]C,1
478,[CH][CH]C[CH]CCC[CH][CH][CH]C[CH],1
479,[CH][CH]CC(C)C,1
480,[CH][CH]CCC,1
481,C1=C[CH-]C=C1.C1=C[CH-]C=C1.[Cr+2],1
482,[CH]CCCC1CCC2(C)[CH]CCC2C1CC,1
483,[CH]CCC[CH],1
484,[CH][CH][CH][CH][CH]C[CH][CH],1
485,[CH][CH][CH][CH][CH][CH]C,1
486,[Ca+2].[Cl-].[Cl-],1
487,[Ca],1
488,[Cd+2],1
489,CCC[CH]C1CCC2(C)C(C)CCC2C1CC,1
490,C[CH]C1C(C(C)CC)CCC2(C)C(CC)CCC12,1
491,C[CH]C1C(C(C)CC)[CH]CC2(C)C(CC)CCC12,1
492,C[CH]C1CC1(C)C(C)C,1
