,smiles,frequency
0,N,1478
1,C1=CC=CC=C1,1457
2,C,1296
3,O,1154
4,C=O,1141
5,F,761
6,[NH2+],668
7,C=N,552
8,CCCC,481
9,CC,435
10,CCC,394
11,C1=CC=NC=C1,373
12,O=S=O,339
13,CC(C)C,236
14,Cl,196
15,C1CCCCC1,127
16,C[CH][CH]C,118
17,C1CC1,106
18,CCCC(C)C,98
19,C1=CN=CN=C1,92
20,CC(C)(C)C,83
21,CCCCC,76
22,C=C,73
23,[CH]C,73
24,CCC1CCC1,66
25,C1=CSC=C1,65
26,C1=CC2=C(C=C1)NC=C2,64
27,CCC(C)C,57
28,C#N,55
29,C#C,55
30,C1=CNN=C1,49
31,C=[NH+],49
32,[NH3+],47
33,CCCC(C)CC,46
34,[O-],44
35,O=C1C=CN=CN1,42
36,Br,41
37,[NH+],38
38,S,36
39,CCCCCCC,34
40,C1=CSC=N1,33
41,C1=CNC=C1,31
42,CC1CCCCC1,30
43,C1=CC2=C(C=C1)NC=N2,30
44,CCCCCC,28
45,C[CH]CC,26
46,C1=CC=C2NC=CC2=C1,23
47,[CH]CCC,22
48,C=[NH2+],21
49,O=S,20
50,C1=CC=C2N=CC=CC2=C1,17
51,C1=CN=C2NC=CC2=C1,17
52,CC1CC1,16
53,CCC(C)(C)C,15
54,[CH]CC,15
55,C1CCCC1,14
56,O=C1C=CC=CN1,14
57,CC(C)C1CC1,13
58,C[CH]C[CH][CH]CC(C)C,12
59,C1=COC=C1,11
60,C[CH]C,10
61,CCC(C)CC,10
62,[CH]CC(C)C,10
63,C1=CN=CC=N1,10
64,[CH]C(C)C,10
65,C[CH][CH]C(C)C,9
66,C1=COC=N1,9
67,CC12CC3CC(CC(C3)C1)C2,9
68,CCCCCCC(C)C,9
69,CCCCCC(C)C,9
70,[N+]=O,8
71,CCCCC(C)C,7
72,[CH]CC1CCC1,6
73,C[CH]CCC,5
74,C1=CN=C2C=CC=CC2=C1,5
75,CCCC(C)(C)C,5
76,I,4
77,CC(C)C1CCCCC1,4
78,C1=CNC=N1,4
79,C1=CON=C1,4
80,C1CCC1,4
81,C[CH][CH]C[CH]C,4
82,C[CH][CH][CH]C,4
83,CCC[CH]C,3
84,CC[CH]C,3
85,C1=CC2=C(C=C1)NN=C2,3
86,C[CH]CCCC,3
87,C[CH][CH]CC1CCCCC1,3
88,CCCCCC1CCCCC1,3
89,C[CH][CH][CH]C[CH]C,3
90,CCCCC1CC1,3
91,CCC1CC1,3
92,C1=CNN=N1,3
93,C1=NN=CO1,3
94,[CH]1[CH]C1,3
95,C1=CC2=C(C=C1)N=CC=C2,3
96,C1=CSN=C1,3
97,[CH][CH][CH]C,3
98,[CH]CC1CCCCC1,3
99,CC(C)CCCC(C)C,3
100,CC(C)C1C[CH]CCC1,2
101,C(CCC1CCCCC1)CC1CCCCC1,2
102,C1C2CC3CC1CC(C2)C3,2
103,O=C1NC=NC2=C1C=NC=C2,2
104,C[CH][CH]CC,2
105,CCCC1CCCCC1,2
106,C[CH]CC(C)CC,2
107,C1=CC=C2NC=NC2=C1,2
108,CC1CC1C,2
109,CC(C)C1[CH]C1,2
110,[CH],2
111,C1=NC=NO1,2
112,CC[CH][CH]C,2
113,CCC1CCCCC1,2
114,[CH][CH]CCC,1
115,[CH]C[CH][CH]CCC,1
116,O=C1NC=NN1,1
117,O=C1[N-]C=NO1,1
118,O=C1NC=NC2=C1C=CC=C2,1
119,[CH]C[CH]CC,1
120,[CH]CC(C)(C)C,1
121,O=C1NC2=CC=CC=C2N1,1
122,C1=CC2=CC=NC=C2C=C1,1
123,C1=CC2=C(N=CN=C2)O1,1
124,[CH]1C[CH]C[CH]C1,1
125,[CH]CCCC,1
126,O=C1NC=NO1,1
127,C1=NC=NN1,1
128,C1=CC2=NC=CN=C2C=C1,1
129,C1=CC=[N+]C=C1,1
130,C1=NN=CS1,1
131,C1=NN=NN1,1
132,C1=NN=N[N-]1,1
133,C1=NNN=C1,1
134,C1CCC(C2CCCC2)CC1,1
135,C1CCC(CC2CCCCC2)CC1,1
136,C1CCC(CCCC2CCCCC2)CC1,1
137,C1CCC(CCCCC2CCCCC2)CC1,1
138,C1[CH]CCCC1,1
139,CC(C)CC1CCCCC1,1
140,CC(C)CCCCC1CCCCC1,1
141,CC(C)C[CH][CH]C1[CH]CCC1,1
142,CC1CCC1,1
143,CC1CCCC1,1
144,C1=CC=NN=C1,1
145,C1=CC=C2C=CC=CC2=C1,1
146,C1=CC=C2OC=CC2=C1,1
147,C1=CC=C2NN=NC2=C1,1
148,C1=CC=C2NN=CC2=C1,1
149,CCCC1CC1,1
150,CCCC1[CH]C1,1
151,CC[CH]CC(C)C,1
152,C[CH]C(C)CCC,1
153,C[CH]C(C)[CH][CH]CC(C)C,1
154,C[CH]C1CCCCC1,1
155,C[CH]C[CH][CH]CC(C)CCCCCCC,1
156,C[CH][CH]CC(C)CCCCCCCC,1
157,C[CH][CH]CCCC,1
158,C[CH][CH][CH]CC(C)CC,1
159,C[CH][CH][CH]C[CH]CC,1
160,CC[CH],1
