,smiles,frequency
0,O,958
1,C=O,928
2,C,911
3,C1=CC=CC=C1,843
4,N,784
5,CC,515
6,[O-],369
7,C=C,337
8,[NH+],289
9,CCC,277
10,Cl,215
11,F,167
12,S,146
13,[NH2+],126
14,[NH3+],115
15,O=S=O,114
16,[CH]C,108
17,CCCC,94
18,C1=CC=NC=C1,75
19,CCCCC,73
20,C=N,59
21,CC(C)C,58
22,[CH][CH],54
23,[CH]CC,52
24,C=[NH+],49
25,[N+],49
26,O=P,40
27,C1=CNC=N1,38
28,I,35
29,[CH]CCC,33
30,C[CH]C,32
31,[CH]C(C)C,32
32,[N+]=O,31
33,C#C,31
34,O=S,30
35,[CH],29
36,C#N,27
37,C1=CC2=C(C=C1)NC=C2,27
38,[CH][CH][CH][CH][CH]C,26
39,[N-],25
40,C1=CSC=C1,24
41,C1=CN=CN=C1,24
42,C1=CSC=N1,24
43,[CH]CC(C)C,22
44,[CH][CH]C,22
45,C1=CC=C2NC=CC2=C1,21
46,[CH][CH][CH][CH]C,20
47,CCCCCC,19
48,CCC(C)C,18
49,C[CH][CH][CH][CH]C,16
50,C1=CC=C2C=CC=CC2=C1,16
51,C[CH]CC,16
52,[CH]CCCC,15
53,Br,14
54,[CH]C[CH]C,13
55,C1CC1,13
56,[CH]C[CH][CH][CH]C,13
57,C1=COC=C1,13
58,CCCCCCC,13
59,C1=CC=C2NC=NC2=C1,12
60,[CH]C[CH][CH]C,12
61,C1=NN=NN1,12
62,C1CCCCC1,12
63,C=[NH2+],12
64,C1=NC=NN1,11
65,CCCC(C)C,11
66,O=C1N=CC=CN1,11
67,C1=CNC=C1,10
68,C1=CON=C1,10
69,CCC(C)C1[CH]CC2(C)CCCC2C1CC,10
70,C[CH][CH]C,9
71,C1=CC2=C(C=C1)C=CC=C2,9
72,C[CH]CCC,9
73,O=C1C=CNC(=O)N1,9
74,CC1CC1,9
75,CCC1[CH]CC2(C)CC(C)CC2C1CC,9
76,C1=NC=NC2=C1N=CN2,8
77,O=C1C=CNC2=CC=CC=C12,8
78,C1=NC=C2N=CNC2=N1,8
