,smiles,frequency
0,C1=CC=CC=C1,480
1,O,476
2,C,459
3,C=O,398
4,N,321
5,Cl,252
6,CC,210
7,C=C,159
8,CCC,117
9,[OH-],59
10,S,59
11,[NH2+]=O,58
12,CCCC,58
13,Br,50
14,F,44
15,CC(C)C,36
16,CCCCC,35
17,P=S,32
18,C1=CC=NC=C1,31
19,C1=CC=C2C=CC=CC2=C1,30
20,CCCCCC,30
21,O=S=O,25
22,C#N,22
23,C=N,20
24,C#C,17
25,I,16
26,C1=NC=NC=N1,16
27,CCCCCCC,16
28,CCC(C)C1CCC2(C)CCCC2C1CC,12
29,CCC(C)C,11
30,C=S,11
31,CCCCCCCC,11
32,O=P,10
33,O=S,9
34,CCCC(C)C,8
35,C1CCCCC1,8
36,C1=CN=CN=C1,8
37,O=C1C=CNC(=O)N1,8
38,CC1(C)CC1,7
39,C1=NC=NN1,6
40,C1=CN=C2N=CN=CC2=N1,6
41,O=C1C=CC2=CC=CC=C2O1,6
42,C1=CC=C2C=C3C=CC=CC3=CC2=C1,6
43,CCC(C)CC,6
44,CCCCC(C)CC,5
45,C1=CC=C2C(=C1)C=CC1=C3C=CC=CC3=CC=C21,5
46,CCCCCC(C)C,5
47,CCCCCCCCC,5
48,CCC1CCC2(C)CCCC2C1CC,5
49,CC1CCCC1,5
50,C1=COC=C1,5
51,CCCC(C)CC,5
52,C1=CC=C2N=CC=CC2=C1,5
53,C1=NC=C2N=CC=NC2=N1,4
54,CCC1CCC2(C)CC(C)CC2C1CC,4
55,C1CCCCCCC1,4
56,O=C1NC(=O)C2=C(N=CN2)N1,4
57,CC(C)CC(C)C,4
58,C1=CNC=N1,4
59,CCC(C)(C)C,4
60,C1=CC=C2SC=NC2=C1,4
61,CC(C)(C)C,4
62,CCCC(C)(C)C,3
63,C1CCCC1,3
64,CCC1CCCC2(C)CCCC12,3
65,CC12CCCC1C1CCC3CCCCC3(C)C1CC2,3
66,CC1CCC(C(C)C)CC1,3
67,C1CCCCCC1,3
68,CCCC(C)CCC,3
69,O=C1N=CC=CN1,3
70,C1=CN=C2C=CC=CC2=C1,3
71,O=C1C=CNN1,3
72,O=C1C=CC=NN1,3
73,C1=CON=C1,3
74,CCC1C(C)CCC2C1CCC1CCCCC12C,2
75,CCCCCCCCCCC,2
76,O=C1NC2=CC=CC=C2O1,2
77,CCCCCCCCCCCCCCCC,2
78,CCCCCCCCCCCCCC,2
79,CC1CCCCC1,2
80,CCC(C)CC(CC)C1CCCC1(C)C,2
81,CC(C)CCCC(C)C,2
82,C1CC2CCCC2C1,2
83,C1=CC=C2NC=CC2=C1,2
84,C1=CC=C2NC=NC2=C1,2
85,C1=CSC=N1,2
86,CCC(C)C1CCC2(C)C(C)CCC2C1CC,2
87,O=C1C=CN=CN1,2
88,C1CC1,2
89,O=C1NN=CO1,2
90,C1=CC=C2C(=C1)C=CC1=C2C=CC=C1,2
91,C1=NC=NC2=C1NC=N2,2
92,C1CC2C3CCC(C3)C2C1,2
93,C1=NN=CS1,2
94,C1=CC=C2N=C3C=CC=CC3=CC2=C1,2
95,CCCC1CCC2(C)CCCC2C1CC,2
96,C1=CC=C2C(=C1)C=CC1=CC=CC=C12,2
97,O=C1NC=NC2=C1C=NN2,1
98,O=C1NC=NC2=C1N=CN2,1
99,CCCCC(C)CC1CCC2(C)C(CCC2(C)CCCCC(C)C)C1,1
100,O=C1NC=NC2=C1NC=N2,1
101,O=C1NOC(=O)N1,1
102,CCCCC(C)C1CCC2(C)CCCC2C1C,1
103,CCCC1CCCC1,1
104,CCCCC(C)C1CCC(C)C(CC)C1C,1
105,O=C1NC=NC2=CC=CC=C12,1
106,CCCCC(C)C,1
107,O=C1C=CC2=C(C=C3OC=CC3=C2)O1,1
108,CCCCCCCCCC,1
109,CCCCCC1CCCC1,1
110,O=C1NC(=O)C2=C(N1)NC(=O)N2,1
111,CCCC1C(CC)CCC2(C)CCCC12,1
112,C1=CC2=C(C=C1)C=CC=C2,1
113,N=N,1
114,C1=CC2=C(C=C1)N1C=NN=C1S2,1
115,O=C1C=CNC(=S)N1,1
116,C1=CC2=C(N=CN=C2)N1,1
117,CCP=S,1
118,O=C1C=CNC=C1,1
119,CCCCCCCCCCCCCCCCCCCCCCCCCC,1
120,CCCCCCCCCCCCCCCCCCCC,1
121,CCCCCCCCCCCCCCCCCC,1
122,CCCCCCCCCCCCCCC,1
123,CCCCCCCCCCCC,1
124,O=C1C=COC2=C1C=C1C=COC1=C2,1
125,O=C1C=COC2=CC=CC=C12,1
126,O=C1C=NN=CN1,1
127,CCCCCCC(CC)CCCCC,1
128,C1=CC=C2C(=C1)C1=CC=CC=C1C1=CC=CC=C21,1
129,CCC(C)(C)CC,1
130,CCCC(C)CCCCC(C)C,1
131,C1=CC2=C3C(=C1)C=CC=C3C1=CC=CC3=CC=CC2=C31,1
132,C1CCC2CCCCC2C1,1
133,C1CCC1,1
134,C1C2C3CC4C1C2CC34,1
135,C1C2C3C4CC5C3C1C5C24,1
136,C1=NN=CN1,1
137,C1=NC=C2N=CNC2=N1,1
138,C1=C[NH+]=CN=C1,1
139,C1=CSC=C1,1
140,C1=CNN=C1,1
141,C1=CN=NC=C1,1
142,C1=CN=CC=N1,1
143,C1=CN=C2C(=C1)C=CC1=NC=CC=C12,1
144,C1=CC=NN=C1,1
145,C1=CC=C2C(=C1)C1=CC=CC3=CC=C4C=CC=C2C4=C31,1
146,C1=CC=C2OC=NC2=C1,1
147,C1=CC=C2NN=NC2=C1,1
148,C1=CC=C2NN=CC2=C1,1
149,C1=CC=C2N=CC=NC2=C1,1
150,C1=CC=C2C=NC=CC2=C1,1
151,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,1
152,C1=CC=C2C=C3C(=CC2=C1)C=CC1=C3C=CC=C1,1
153,C1=CC=C2C(=C1)SC1=CC=CC=C12,1
154,C1=CC=C2C(=C1)OC1=CC=CC=C12,1
155,C1=CC=C2C(=C1)NC1=CC=CC=C12,1
156,C1=CC=C2C(=C1)C=NC1=CC=CC=C12,1
157,C1=CC=C2C(=C1)C=CC1=C2C=CC2=C3C=CC=CC3=CC=C21,1
158,C1=CC=C2C(=C1)C=CC1=C2C=C2C=CC=CC2=C1,1
159,C1=CC2=CN=CN=C2C=C1,1
160,C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,1
161,C1=CC2=CC=C3C=CC4=CC=C5C=CC=C6C(=C1)C2=C3C4=C56,1
162,C1=CC=C2C(=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34,1
163,CCC1CCCCC1,1
164,CCC1CCCC(C)C1CC,1
165,CCC1C(C(C)C)CCC2(C)CCCC12,1
166,CCC1(C)C(C)CCC2C3CCCC3(C)CCC21,1
167,CCC(CC)CC,1
168,CCC(C)CC(CC)C(CC)C(C)C,1
169,CCC(C)C1CCC2CCCC2C1CC,1
170,CCC(C)C1CCC2(C)CCCC2C1,1
171,CCC(C)C1CCC2(C)C(CC)CCC2C1CC,1
172,CCC(C)C1CCC2(C)C(C)CCC2C1,1
173,CCC(C)C1CCC(C)C(CC)C1CC,1
174,CCC(C)C(C)C,1
175,C1=CC2=CC3=CC=C4C=CC=CC4=C3C=C2C=C1,1
176,CC(C)C(C)(C)C,1
177,CC1CCCCC1C,1
178,CC1CCC(C)CC1,1
179,C1=CC2=CC=C3C=CC4=CC=C5C=CC6=CC=C1C1=C2C3=C4C5=C61,1
180,CC1CCC(C(C)C)C1,1
181,CC1CC1C,1
182,CC1CC1,1
183,CC12CCC(CC1)C2(C)C,1
184,CC1(C)CC1(C)C,1
185,CC(C)CCC(C)(C)C,1
186,CC(C)CC(C)(C)C,1
187,CC(C)C(C)C(C)C,1
188,CC(C)C(C)C,1
189,CC1CCC(C)C1(C)C,1
