,smiles,frequency
0,C,246
1,O,244
2,C1=CC=CC=C1,200
3,C=O,147
4,CC,117
5,Cl,114
6,N,86
7,CCC,66
8,C=C,54
9,[O-],36
10,CCCC,36
11,[N+]=O,35
12,F,35
13,S,26
14,Br,25
15,CCCCC,24
16,CC(C)C,23
17,C1=CC=NC=C1,22
18,CCCCCC,13
19,C#N,12
20,I,12
21,[CH]C,11
22,C1=CC=C2C=CC=CC2=C1,10
23,CCCCCCC,10
24,P=S,10
25,C[CH]CC,8
26,O=C1C=CNC(=O)N1,8
27,CCCCCCCC,6
28,CCC(C)C,6
29,C#C,6
30,O=S=O,5
31,C1CCCCC1,5
32,C[CH]C,5
33,C1=CNC=N1,4
34,C1=CC2=C(C=C1)C=CC=C2,4
35,O=P,4
36,CCCCCCCCC,3
37,C1=NC=NC=N1,3
38,C1CC1,3
39,C1=CN=CC=N1,3
40,CCCC(C)C,2
41,C1=CN=CN=C1,2
42,C[CH]CC[CH]C,2
43,C[CH]CCC,2
44,C1=CSC=C1,2
45,CC[CH]C(C)C,2
46,O=S,2
47,CCCCCCCCCC,2
48,[NH2+]=O,2
49,C1=CNC=C1,2
50,[OH-],2
51,CC(C)(C)C,2
52,C1CCCC1,2
53,CCC(C)CC,1
54,CC(C)C(C)C(C)C,1
55,CC(C)CCC(C)(C)C,1
56,C1=CC=C2N=CC=CC2=C1,1
57,O=C1C=CC=NN1,1
58,C1=CC=C2C=C3C=CC=CC3=CC2=C1,1
59,O=C1NC(=O)C2=C(N=CN2)N1,1
60,O=C1NC(=O)NC(=O)N1,1
61,O=C1NN=NC2=CC=CC=C12,1
62,CC(C)CC(C)C,1
63,CC(C)CC(C)(C)C,1
64,C1=CC=C2C(=C1)C=CC1=C2C=CC=C1,1
65,CC1CC1,1
66,C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,1
67,C1=CC2=C(C=C1)NC=C2,1
68,[CH]C1CCC[CH]1,1
69,[CH]C[CH]C,1
70,[CH][CH][CH][CH]C,1
71,[CH][CH][CH][CH][CH]C,1
72,CC(C)C(C)C,1
73,C1CCCCCC1,1
74,CC(C)[CH]CCC(C)C,1
75,CC1CCC(C)CC1,1
76,C1CCC2[CH]C[CH]C12,1
77,CCC(C)(C)CC,1
78,CCCC(C)(C)C,1
79,CCC(C)C(C)C,1
80,CCCC(C)CC,1
81,CCCC1CCCC1,1
82,C1CCC2C3[CH][CH]C(C3)C12,1
83,CCCCC(C)C,1
84,CCCCC(C)CC,1
85,C1CCC1,1
86,CCCCCC1CCCC1,1
87,C1CC[S+2]C1,1
88,C[CH][CH][CH][CH]C,1
89,CCC(C)(C)C,1
90,CC1C[CH]C(C(C)C)CC1,1
91,CC[CH]CCC,1
92,CC1CCCCC1C,1
93,CC1CCCCC1,1
94,C[CH]CC(C)C,1
95,CC1CCCC1C,1
96,CC1CCCC1,1
97,C[CH][CH]C,1
98,C=N,1
