,smiles,frequency
0,N,3608
1,C1=CC=CC=C1,3250
2,C,2997
3,C=O,2648
4,O,2576
5,CC,1555
6,Cl,976
7,F,901
8,C1=CC=NC=C1,686
9,CCC,677
10,O=S=O,653
11,CCCCC,494
12,C1=CN=CN=C1,413
13,C#N,323
14,[CH]C,312
15,S,277
16,C1=CNN=C1,223
17,C[CH]C,207
18,CC(C)C,196
19,C=C,192
20,C1=CC=C2NC=CC2=C1,179
21,CCCC,168
22,C1=CC=C2N=CC=CC2=C1,148
23,C1CC1,144
24,C=N,133
25,C1=CNC=N1,130
26,C1=CSC=C1,127
27,C1=CSC=N1,116
28,C1=CC2=CN=CN=C2C=C1,116
29,C[CH]CCC,109
30,Br,96
31,[O-],92
32,CCC(C)CC,89
33,C1=CN=C2C=CC=CC2=C1,80
34,C1=CN=CC=N1,66
35,C1=CC=C2C=CC=CC2=C1,64
36,C1=CC=C2NC=NC2=C1,63
37,[CH]CC,62
38,C1=COC=C1,59
39,[CH]1[CH]CCCC1,58
40,C1CCCCC1,55
41,C[CH]CC,54
42,[N+]=O,54
43,C1=CC2=NC=CN2C=C1,53
44,C1=CNC=C1,51
45,O=C1NC2=C(C=CC=C2)S1,51
46,CC1CC1,50
47,C#C,49
48,O=C1C=CC=CN1,49
49,O=C1C=CNC(=O)N1,44
50,CC12CC3CC(CC(C3)C1)C2,43
51,C1=CON=C1,42
52,O=S,41
53,C1CCC1,37
54,C1=CC2=C(C=C1)NC=C2,37
55,C1CCCC1,37
56,O=C1NC=NC2=CC=CC=C12,34
57,CCCCCC,34
58,C1=CC=C2N=CN=CC2=C1,32
59,C1=CC=C2SC=NC2=C1,32
60,O=C1NC(=O)C2=C(N1)SC=C2,32
61,C1=CC2=C(N=CN=C2)N1,31
62,C1=NN=CO1,31
63,C1=CN2N=CC=C2N=C1,31
64,CCC(CC)CC,30
65,O=C1NC(=O)C2=CNN=C2N1,30
66,C1=CC2=C(C=C1)SC=N2,30
67,C1=NC=C2N=CNC2=N1,29
68,[CH][CH][CH][CH]C,28
69,[S+],28
70,C[CH][CH]CC,28
71,[CH]1C[CH]CC[CH]C1,27
72,C1=NN=NN1,26
73,O=C1C=CN=CN1,26
74,CCCC(C)C,25
75,O=C1C=COC2=CC=CC=C12,25
76,C[CH]C(C)(C)C,25
77,C1=CC2=CC=NN=C2C=C1,23
78,C1=CC=C2NN=CC2=C1,23
79,C1=NC=NN1,21
80,O=C1C=CNC2=CC=CC=C12,21
81,O=C1NC=CC2=CC=CC=C12,21
82,[CH]CCC,21
83,O=C1NNC(=O)C2=C1NC1=CC=CC=C1C2=O,19
84,O=C1C=CC2=CC=CC=C2O1,19
85,C1=NC=NC2=C1SC=N2,18
86,[CH],18
87,[CH]C1CCCCC1,18
88,C1=NNN=N1,18
89,[CH][CH]C,17
90,O=C1C=CC2=CC=CC=C2N1,17
91,C1=CN=NC=C1,17
92,C1=NC=NC2=C1N=CN2,17
93,C1=CC2=C(N1)SC=C2,17
94,CC1CC[CH]CC1,16
95,C1=CN=C2NC=NC2=C1,16
96,C1=CN=C2NC=CC2=C1,16
97,C1=NN=CN1,16
98,C1=CC2=NN=CN2N=C1,15
99,O=C1C=COC2=C1C=CC=C2,15
100,C1=CNN=N1,15
101,O=C1NN=C2C=CC3=CC=CC=C3N12,15
102,O=C1NC=NC2=C1SC=C2,14
103,C1=CC=C2OC=CC2=C1,14
104,C1=CC2=C(C=C1)NN=C2,14
105,C1=NN=CS1,14
106,[CH]C(C)(C)C,14
107,C1=NC=NO1,14
108,C1C2CC3CC1CC(C2)C3,14
109,C1=CC=C2OC=NC2=C1,13
110,CC(C)(C)C,13
111,O=C1NN=CC2=CC=CC=C12,13
112,C1=CC2=C(N=C1)NC=N2,13
113,C1=CC=C2C(=C1)NC1=CC=CC=C12,12
114,CCC(C)C,12
115,C1=NC=NC=N1,11
116,CC1CCCCC1,11
117,[CH]CC(C)C,11
118,O=C1NNC(=O)C2=NC3=CC=CC=C3C=C12,11
119,O=C1C=NC2=CC=CC=C2N1,11
120,C1=CN2N=CN=C2N=C1,10
121,C1=COC=N1,10
122,O=C1NC2=C(C=NC=N2)S1,9
123,[CH]C(C)C,9
124,C1=CC2=NC=C3N=CNC3=C2C=C1,9
125,C=S,9
126,C1=CC=C2C=NC=CC2=C1,9
127,CCC1CC[CH]CC1,9
128,C[CH][CH]C,9
