,smiles,frequency
0,O,1059
1,N,987
2,C=O,916
3,C,910
4,C1=CC=CC=C1,814
5,CC,568
6,C=C,327
7,CCC,312
8,Cl,232
9,F,164
10,S,147
11,C=N,136
12,CCCC,123
13,O=S=O,115
14,[O-],112
15,CCCCC,103
16,[CH]C,84
17,CC(C)C,81
18,C1=CNC=N1,67
19,C1=CC=NC=C1,66
20,CCCCCC,62
21,O=P,53
22,[CH]CC,52
23,C1=CC=C2NC=CC2=C1,46
24,[CH]CCC,43
25,CCC(C)C,37
26,[CH]CCCC,36
27,O=S,36
28,[CH]CC(C)C,35
29,[N+],34
30,C#N,30
31,[N+]=O,30
32,[CH][CH]C,29
33,C1=CSC=C1,28
34,[CH]C(C)C,28
35,C1=CSC=N1,27
36,C1CCCCC1,24
37,C#C,24
38,C1=CN=CN=C1,23
39,I,21
40,[CH]C(C)CC,20
41,[CH][CH][CH][CH][CH]C,19
42,C1=CC2=C(C=C1)NC=C2,18
43,[CH][CH],18
44,C1CC1,17
45,C1=CC=C2C=CC=CC2=C1,17
46,C[CH]C,15
47,CCCC(C)CC,15
48,Br,14
49,CCCCCCC,14
50,C1=NC=NC2=C1N=CN2,14
51,CCC1CCC2(C)CC(C)CC2C1CC,13
52,CCCC(C)C,13
53,C1CCCCCC1,12
54,O=C1C=CNC(=O)N1,12
55,C1=CON=C1,12
56,[Na+],11
57,CCC(C)C1CCC2(C)CCCC2C1CC,11
58,C1=COC=C1,11
59,C1=NNN=N1,11
60,O=C1N=CC=CN1,11
61,C1=NC=NN1,11
62,CCC1CCC2(C)CCCC2C1CC,11
63,C[CH][CH][CH][CH]C,11
64,C[CH]CC,11
65,[CH][CH][CH][CH]C,11
66,[CH]C[CH]C,10
67,C1=CC=C2NC=NC2=C1,9
68,C1=CC=C2N=CN=CC2=C1,9
69,C1=CC2=C(C=C1)NC=N2,9
70,O=C1C=CNC2=CC=CC=C12,9
71,[CH],9
72,O=C1NC(=O)C2=C(N=CN2)N1,8
73,CC1CC1,8
74,C1=CNN=C1,7
75,C1=CNC=C1,7
76,[NH+],7
77,C1=CN=CC=N1,7
78,O=C1N=CNC2=C1N=CN2,7
79,C1=CN=C2C=CC=CC2=C1,7
80,[Na+].[Na+],7
81,CCCC(C)CCC,6
82,CCC(C)C(CC)CC,6
83,C1CCCC1,6
84,CCC1CCCC2(C)CCCC12,6
85,[Cl-],6
86,[Br-],6
87,O=C1C=CC=CN1,6
88,CCCCCCCC,6
89,CCC(C)CC,6
90,N=O,6
91,C[CH][CH]C,6
92,[Ca+2],6
93,CCCCC(C)C,5
94,[Gd+3],5
95,CCC1CCCCC1CC,5
96,[CH]CC1C(CC)[CH]CC2(C)CC(C)CC12,5
97,CC1CCCCC1,5
98,C1=NN=CN1,5
99,CC1CCCC1,5
100,[N-],5
101,CCCC(CC)CC,4
102,C[CH][CH]C(C)[CH]CC,4
103,C[CH]CCC,4
104,C1=CC2=C(C=C1)N=CC=C2,4
105,C1=CC2=C(C=C1)C=CC=C2,4
106,[NH2+],4
107,CCCCCCCCCC,4
108,C1=CC=C2N=CC=CC2=C1,4
109,CCC1[CH]CCC2(C)CCCC12,4
110,CC1[CH][CH]C[CH]1,4
111,C=S,4
112,CCC1[CH]CC2(C)CC(C)CC2C1CC,4
113,CCC1CCCCC1,4
114,CCCCCCCCC,4
115,[CH][CH][CH],4
116,[Fe+3],4
117,[CH][CH][CH]C[CH]C,4
118,[CH]C(C)[CH]C(C)[CH]C(C)[CH][CH]C,4
119,[CH]C[CH][CH]C,4
120,[CH]CC(C)[CH][CH]C,4
121,[CH][CH][CH][CH][CH],4
122,CCC(C)CC(C)CC,3
123,C[CH]C(CC)CC,3
124,CCCCCC(C)C,3
125,C[CH]C(C)C,3
126,C[CH]C[CH]C,3
127,CCCC1C(CC)CCC2(C)CCCC12,3
128,C[CH][CH]C(C)[CH]C(C)C[CH]C,3
129,[NH3+],3
130,CCC1CCCC1,3
131,[CH][CH]C[CH],3
132,C1=CC=[N+]C=C1,3
133,CCC1[CH]C[CH]C(CC)[CH]1,3
134,[CH]CC1[CH]CCCC1,3
135,C1=CC2=C(C=C1)ON=C2,3
136,[CH]C(C)(C)C,3
137,C1=NN=NN1,3
138,[C-]#N,3
139,C1C2CC3CC1CC(C2)C3,3
140,O=C1C=CN=CN1,3
141,[Gd+3].[H+].[H+],3
142,[Fe],3
143,CCCC(C)CC(C)CCC,3
144,O=C1NC2=CC=CC=C2N1,3
145,CCCC1(C)CCCC1CC,3
146,O=C1C=CNC=N1,3
147,O=C1C=COC2=CC=CC=C12,3
148,O=C1N=CNN1,3
149,CCC1CCCCC1C,3
150,O=C1NC=NN1,3
151,O=C1OC=CO1,3
152,CCCC(C)(C)C,2
153,CCC1[CH]CC2(C)C[CH]CC2C1CC,2
154,CCCC1CCC2(C)CCCC2C1CC,2
155,CCCC(C)(C)C(C)CC(C)C(C)CC,2
156,CCC1[CH]CCC2(C)[CH][CH]CC12,2
157,CCCC1CCCC1(C)CC,2
158,CCCC1C(C(C)CC)CCC2(C)CCCC12,2
159,CCC1[CH]CCC2(C)[CH]CCC12,2
160,B,2
161,CCCCC(C)CC,2
162,[CH]CC(C)C1CCCCC1,2
163,[Se],2
164,[Pt+2],2
165,[NH+]=O,2
166,[N-]=[N+]=N,2
167,[N-]=O,2
168,[Mg+2],2
169,[Li+],2
170,[K+],2
171,[CH][CH][CH][CH],2
172,[CH][CH]CC,2
173,[CH][CH]C(C)C,2
174,[CH]C(CC)C([CH]C)CC,2
175,CCCCC(CC)C1CCCC1(C)CC,2
176,S=S,2
177,S=C1NC=CN1,2
178,S=C1N=CNC2=C1NC=N2,2
179,P=S,2
180,O=C1N=CNO1,2
181,O=C1N=CN=CN1,2
182,O=C1C=COC2=C1C=CC=C2,2
183,O=C1C=CNC=C1,2
184,O=C1C=CNC2=NC=CC=C12,2
185,CCCCCCCCCCCCCCCCC,2
186,CCCCCCCCCCCCCCC,2
187,CCC1[CH]CC2(C)CCCC2C1CC,2
188,CCCCCCCCCCCCCCCCCC,2
189,CC(C)(C)C,2
190,C1=NN=CS1,2
191,CCC(C)C1CCC2(C)C(C)CCC2C1CC,2
192,CCC(C)C(C)C,2
193,CC1CCC1,2
194,CC12[CH][CH]CC1C1CCC3C[CH][CH]CC3(C)C1CC2,2
195,CC12CCCC1C1CCC3CCCCC3(C)C1CC2,2
196,CC(C1CC1)C1CCC2(C)CCCC2C1,2
197,C=[N+],2
198,C=C1C=CSC1=N,2
199,C=C1C=CC=CC1=N,2
200,C1CCCCCCC1,2
201,C1=NSN=C1,2
202,C1=NC=NC2=C1NC=N2,2
203,CCC(C)CC1CCCCC1,2
204,C1=CN=CC=C2C=CC(=CC3=CC=C(C=CN=C1)N3)N2,2
205,C1=CN=C2N=CN=CC2=N1,2
206,C1=CC=C2SN=CC2=C1,2
207,C1=CC=C2NN=CC2=C1,2
208,C1=CC2=NC=CN=C2C=C1,2
209,C1=CC2=CC=C(C=CN=CC=C3C=CC(=CC=N1)N3)N2,2
210,C1=CC2=C(C=C1)SC=N2,2
211,C1=CC2=C(C=C1)SC=C2,2
212,C1=CC2=C(C=C1)OC=N2,2
213,C1=CC2=C(C=C1)OC=C2,2
214,C1=CC2=C(C=C1)N=CN=C2,2
215,CCC(C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C,2
216,[Zn],2
217,CCC(CC1C(C)CCCC1C)C(C)C,2
218,CCC(CC)C(C)C,2
219,CCC1CCCC1C,2
220,CCC1CCCC(C)C1CC,2
221,[CH]CC1C(CC)[CH]CC2(C)C[CH]CC12,1
222,[CH]CC1CCCCC1C,1
223,[CH]CC1[CH]C1,1
224,C1=C[N+]=CC=N1,1
225,[CH]CC1C(CC)CCC2(C)CC(C)CC12,1
226,[CH]C[CH][CH],1
227,[CH]CC1[CH]CCC1,1
228,C1=CSC=[N+]1,1
229,C1=COC=N1,1
230,C1=CNN=N1,1
231,[CH]CCCCC,1
232,[CH]CCC[CH]C,1
233,[CH]CC[CH],1
234,C1=CN=NC=N1,1
235,[CH]C[CH]C(C)CCCC(C)[CH][CH]C,1
236,CCCC1CCCCC1,1
237,[CH]CC([CH]C1C(C)[CH]C[CH]C1C)C(C)C,1
238,[CH]C[CH][CH][CH]C,1
239,CCC1CC2CCC1(CC)CC2C(C)C(C)(C)C,1
240,C1=CN=C2NC=CC2=C1,1
241,CCC1CCC(C)C(CC)C1C,1
242,[CH][CH]C([CH])C,1
243,[CH][CH]C([CH][CH]C)CC,1
244,C1=CN2N=CC=C2N=C1,1
245,[CH][CH]CC[CH],1
246,CCC1CCC(C)C(CC)C1CC,1
247,[CH][CH]C[CH]CCC[CH][CH][CH]C[CH],1
248,[CH][CH]C[CH][CH]C,1
249,C1=CC=C2SC=CC2=C1,1
250,C1=CC=C2ON=CC2=C1,1
251,C1=CC=C2OC=CC2=C1,1
252,C1=CN=CC=C2C=CC(=CC3=CC=C(C=CN=C1)[N-]3)[N-]2,1
253,C1=NC=C2N=CNC2=N1,1
254,C1=C[O+]=C2C=CC=CC2=C1,1
255,[CH]1[CH][CH]C[CH]1,1
256,[Ba+2].[H-].[H-],1
257,CCC12[CH]C(C)([CH]CC(C)[CH]C1C)C(C)CC2,1
258,C1=NNN=C1,1
259,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+2],1
260,[CH2]C,1
261,CCCC(C)CC(C)CC(C)C,1
262,[CH]1CC1,1
263,[CH]1CC[CH]CCC1,1
264,[CH]1[CH]C1,1
265,[CH]1[CH]C2CCC1C2,1
266,[CH]1[CH]CCC1,1
267,[CH]1[CH]CCCC1,1
268,[CH]1[CH]CCCC[CH]1,1
269,[CH]1[CH]CC[CH]C1,1
270,C1=NN=CO1,1
271,C1=NC=NC2=C1C=NN2,1
272,C1=NC=NS1,1
273,C1=NC=NC=N1,1
274,CCC1C(C(C)C)CCC2(C)CCCC12,1
275,[CH]C(C)[CH]C,1
276,C1=NC=NC2=C1N=NN2,1
277,[CH]C(C)[CH][CH]C,1
278,C1=NC=NC2=C1N=CN=C2,1
279,[CH]C([CH])CC(C)CC1C([CH])C1(C)C,1
280,[CH]C([CH]C)CC,1
281,[CH]C12CC3CC(CC(C3)C1)C2,1
282,[CH]C1C(C)C1(C)C,1
283,[CH]C1CCCC1C,1
284,[CH]C1CCCCC1,1
285,C1=NC=NC2=C1N=CC=N2,1
286,CCC1CCC1,1
287,C1=CC=C2C=NN=CC2=C1,1
288,C1=CC=C2N=C3C=CC=CC3=CC2=C1,1
289,C1=CC2=C(C=C1)NN=C2,1
290,C1=CC2=C(C=C1)[N-]C=N2,1
291,[NH-],1
292,CCC1CCC2CC1C2(C)C,1
293,[NH2-],1
294,[NH4+],1
295,[N]=O,1
296,CCC1CCCC(CC)C1,1
297,CCC1[CH]CCC(C)C1CC,1
298,[Na+].[Na+].[Na+].[Na+],1
299,[Na+].[Na+].[Na+].[Na+].[Na+],1
300,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1
301,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1
302,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1
303,[O-2].[O-2].[O-2],1
304,[OH+],1
305,[Au].[Au],1
306,[OH-],1
307,[PH+],1
308,C1=CC2=C(C=C1)N=C[NH+]=C2,1
309,[Pt],1
310,[Ra],1
311,[S+],1
312,[S-],1
313,[SH2+],1
314,[Sm],1
315,[Sr+2].[Sr+2],1
316,[Tc],1
317,[Tl],1
318,[Y],1
319,[Zn+2],1
320,C1=CC2=C(N=C1)NN=C2,1
321,C1=CC2=C(N=CN=C2)N1,1
322,CCC1[CH]CCCC1,1
323,C1=CC2=CC=C3C=CC=CC3=C2C=C1,1
324,C1=CC=C2C=NC=CC2=C1,1
325,[Cf].[Cf].[O-2].[O-2].[O-2],1
326,C1=CC=C2C(=C1)NC1=C2C=CC=C1,1
327,[Co+2],1
328,[Co],1
329,[Cr],1
330,[Cu],1
331,C1=CC=C2C(=C1)N=CC1=C2NC=N1,1
332,C1=CC=C2C(=C1)C=CC1=C2N=C2C=CC=CN21,1
333,[Ga+3],1
334,C1=CC2=NSN=C2C=C1,1
335,C1=CC2=NON=C2C=C1,1
336,[Gd+3].[Na+].[Na+].[Na+],1
337,[Gd],1
338,[Ge],1
339,[H+].[H+].[H+].[Mn+2].[Na+].[Na+].[Na+],1
340,[H-].[H-].[Sr+2],1
341,[I-],1
342,[I-].[Na+],1
343,[In],1
344,CCC1CCC2(C)C[CH]CC2C1CC,1
345,[K+].[K+],1
346,[La+3].[La+3],1
347,[La],1
348,C1=CC2=NC=CN2N=C1,1
349,[Li+].[OH-],1
350,C1=CC2=NC=CN2C=C1,1
351,C1=CC2=CNN=C2C=C1,1
352,C1=CC2=CN=CN=C2N1,1
353,[Ba+2],1
354,[Au+].[Na+].[Na+],1
355,CCC(C)C1[CH]CC2(C)CCCC2C1CC,1
356,CC1CCCC2C1CCC1(C)CCCC21,1
357,CC[CH]C1CCC2(C)[CH]CCC2C1CC,1
358,CC[CH]C1CCC2(CC)CCCC2C1CC,1
359,CC[CH]CC,1
360,CC[CH]CCCCCC,1
361,CC[CH][CH][CH]C,1
362,CC[CH][CH][CH][CH][CH]C,1
363,CC1[CH]C1,1
364,CC1C[CH]CC1C,1
365,C[CH]C(C)CC1C[CH][CH]CC1,1
366,CC1CCCCC1C,1
367,C[CH]C([CH]CCCCCC)CCCCCCCC,1
368,C[CH]C1C(C(C)CC)CCC2(C)C(CC)CCC12,1
369,C[CH]C1CC[CH]C1(C)CCC,1
370,C[CH]C1[CH]CC2C[CH]CCC2C1,1
371,C[CH]CC1C(C(C)CC)CCC2(C)CCCC12,1
372,CC[CH]C(C)C,1
373,CC1CCCC1C,1
374,C[CH]CCC(C)C1CCC(C)C(C)C1C,1
375,C[CH]CCCC,1
376,C[CH]CCCCCCC(C)[CH]C(C)C,1
377,C[CH]CCCCCCC(C)[CH]C(C)CC,1
378,C[CH]CC[CH]C,1
379,CC1CCC2C3CCC(C)C(C)(C)C3CCC12C,1
380,C[CH]C[CH][CH]C,1
381,C[CH]C[CH][CH]C([CH]C)CC[CH]C[CH]C,1
382,CC1CCC2C(CCC3(C)C(C)CCC23)C1(C)C,1
383,C[CH][CH]C(C)C[CH]C,1
384,CC1CC1C,1
