,smiles,frequency
0,O,4924
1,C,4025
2,C=O,4013
3,C1=CC=CC=C1,3918
4,N,3456
5,CC,2092
6,C=C,1344
7,Cl,1219
8,CCC,1115
9,[O-],744
10,O=S=O,567
11,F,547
12,S,493
13,CCCC,481
14,C=N,364
15,[N+]=O,343
16,CC(C)C,330
17,CCCCC,307
18,C1=CC=NC=C1,258
19,Br,212
20,C#N,198
21,[CH]C,189
22,O=P,152
23,C1=CC=C2C=CC=CC2=C1,149
24,O=S,141
25,[N+],141
26,CCCCCC,131
27,CCCCCCCC,109
28,C1=CC=C2NC=CC2=C1,107
29,C1=CN=CN=C1,90
30,C1=CNC=N1,89
31,CCCCCCC,89
32,[CH][CH][CH][CH][CH]C,88
33,I,81
34,[CH]CC,81
35,C[CH]C,79
36,CCC(C)C,79
37,[CH][CH],77
38,C1=CSC=C1,76
39,C1CCCCC1,76
40,C=S,72
41,C1=CSC=N1,70
42,C#C,68
43,[Si],64
44,C1=COC=C1,62
45,P=S,60
46,N=N,54
47,CCCCCCCCCCCC,52
48,CCCCC(C)CC,50
49,[CH][CH]C,50
50,C1=CNC=[N+]1,49
51,[CH]CCC,49
52,[CH]C(C)C,48
53,[CH][CH][CH][CH]C,48
54,C1=CC=C2NC=NC2=C1,46
55,[CH],46
56,CCCC(C)C,45
57,CCCCCCCCCC,44
58,C1=NC=NC=N1,42
59,N=O,40
60,C1=CC=[N+]C=C1,39
61,[N-],39
62,C1=NC=NN1,36
63,C1=CC=C2N=CC=CC2=C1,36
64,C1=CN=C2C=CC=CC2=C1,36
65,CCCCCCCCC,34
66,CC(C)(C)C,33
67,C1CC1,33
68,CCCCCCCCCCC,30
69,C[CH][CH][CH][CH]C,29
70,CCC(C)CC,28
71,C1=CC=C2SC=NC2=C1,27
72,C1=CNN=C1,27
73,C[CH]CC,26
74,C1=CON=C1,25
75,C1=NN=NN1,25
76,CCCCCCCCCCCCCCCC,24
77,O=C1C=CNC(=O)N1,23
78,C1CCCC1,23
79,O=C1C=CNC2=CC=CC=C12,23
80,[CH]CC(C)C,23
81,[CH]C[CH][CH][CH]C,23
82,CCCCCCCCCCCCCC,23
83,O=C1NC(=O)C2=C(N=CN2)N1,22
84,[S-],21
85,O=C1C=CC2=CC=CC=C2O1,21
86,O=C1C=COC2=CC=CC=C12,21
87,[CH]CCCC,20
88,C1=CNC=C1,20
89,CCCCCCCCCCCCCCC,20
90,C1=CN=CC=N1,20
91,[B-],20
92,C1=CC2=C(C=C1)NC=C2,20
93,C[CH]CCC,19
94,CC(C)CC(C)(C)C,18
95,[Sn],18
96,CC(C)CCCC(C)C,17
97,[CH]C[CH]C,17
98,CCC(C)(C)C,17
99,C1=NC=NC2=C1N=CN2,16
100,CCCCCCCCCCCCC,15
101,CCC1[CH]CC2(C)CC(C)CC2C1CC,15
102,[CH]CC(C)[CH][CH]C,15
103,CCCCCCCCCCCCCCCCCC,13
104,CCCCCCCCCCCCCCCCC,13
105,CCCCCC(C)C,13
106,[CH]1C[CH]CC[CH]C1,13
107,[CH]C[CH][CH]C,13
108,CCC1[CH]CCC2(C)[CH]CCC12,13
109,C=[N+],13
110,C[CH][CH]C,13
111,C1=NN=CN1,12
112,O=C1N=CC=CN1,12
113,C1=NC=C2N=CNC2=N1,12
114,CCC(C)C1CCC2(C)[CH]CCC2C1CC,12
115,CCC(C)C1[CH]CC2(C)CCCC2C1CC,12
116,C[CH][CH][CH]C,12
117,[CH]1[CH][CH]C[CH][CH]1,12
118,O=C1NC2=CC=CC=C2N1,11
119,C1=NN=CS1,11
120,CC1CCCCC1,11
121,CCC1CCCCC1,11
122,C1=CC=C2OC=CC2=C1,11
123,[P+],11
124,CCC(CC)CC,11
125,O=C1C=CC=CN1,11
126,[CH][CH][CH]C[CH]C,11
127,C1=CC=C2C=C3C=CC=CC3=CC2=C1,11
128,O=C1C=CNN1,10
129,P,10
130,CC1(C)CC1,10
131,[Hg],10
132,C1=CC2=CN=CN=C2C=C1,10
133,CC1(C)[CH][CH]1,10
134,CC1CC1,10
135,C[CH][CH]C[CH]C,9
136,O=C1NC(=O)NC(=O)N1,9
137,[CH]1[CH][CH][CH][CH][CH]1,9
138,O=C1C=CNC2=C1C=CC=C2,9
139,CCC1[CH]CC2(C)C[CH]CC2C1CC,9
140,C[CH],9
141,CC[CH][CH][CH]C,9
142,CC(C)C(C)C,9
143,C1=COC=N1,9
144,C[CH][CH]C(C)[CH]CC,8
145,C[CH]C(C)C,8
146,C1=CC=C2C(=C1)C=CC1=CC=CC=C12,8
147,C[CH][CH]CC,8
148,CCC1[CH]CC2(C)CCCC2C1CC,8
149,CCCCCCC(C)C,8
150,CC1CCCC1,8
151,[AlH3],8
152,C[CH]C[CH]C,7
153,CCCC(C)CC,7
154,[CH]C[CH][CH],7
155,C1=CC=C2NN=CC2=C1,7
156,[Zn+2],7
157,CC1CCC(C(C)C)CC1,7
158,[CH][CH]C(C)C,7
159,C[CH]C(C)C(C)CC,7
160,O=[As],7
161,C1=CC=C2C=NC=CC2=C1,7
162,CCCCCCCC(C)C,7
163,[CH]CC1C(CC)[CH]CC2(C)CC(C)CC12,7
164,CCC(C)CCCC(C)CCCC(C)CCCC(C)C,7
165,CC12[CH]CC(CC1)C2(C)C,7
166,[CH]CC1[CH][CH][CH]CC1C,7
167,O=C1NC=NN1,7
168,O=C1NC=NC2=CC=CC=C12,7
169,C[CH][CH]C(C)[CH]C(C)C[CH]C,6
170,O=C1C=CC=NN1,6
171,C[CH]C1CC[CH]C1(C)CCC,6
172,CC1[CH][CH]C[CH]1,6
173,CCC(C)C(C)C,6
174,CCC(C)CCCC(C)C,6
175,CCCC(C)CCC,6
176,CC(C)(C)C1CCCCC1,6
177,B,6
178,C1=CC=C2C=NN=CC2=C1,6
179,C1=CC=C2N=C3C=CC=CC3=CC2=C1,6
180,C1=CC2=NC=CN=C2C=C1,6
181,C1=NC=NO1,6
182,[CH]1CC[CH]CC1,6
183,[CH]C(C)CC,6
184,O=C1C=COC2=C1C=CC=C2,5
185,CC1C[CH]C(C)(CCC(C)C2(C)[CH]C3(C)CC[CH]C(C)(C)C3CC2)CC1,5
186,C1=CC2=NNN=C2C=C1,5
187,O=C1NC=NC2=C1N=CN2,5
188,[CH][CH]CC([CH]C)CC,5
189,O=C1NC2=CC=CC=C2O1,5
190,C1=NN=CO1,5
191,CC12[CH][CH]CC1C1CCC3C[CH][CH]CC3(C)C1CC2,5
192,[CH]C(C)[CH]C(C)[CH]C(C)[CH][CH]C,5
193,[CH]C(CC)C([CH]C)CC,5
194,O=C1C=CNC=N1,5
195,[Se],5
196,CCCC(C)(C)C,5
197,CCC1[CH]CCC2(C)CCCC12,5
198,O=C1C=CN=CN1,5
199,C1=CC=C2N=CN=CC2=C1,5
200,CCCC1CCCCC1,5
201,C[CH]C1[CH]C[CH]C(CC)[CH]1,5
202,O=C1C=CC2=CC=CC=C2N1,5
203,CCC(C)CCC(C)C,5
204,C1=CC=C2C(=C1)NC1=CC=CC=C12,5
205,C[CH]CCCCCC,5
206,CC1CCC(C)CC1,5
207,CC[CH]C(C)C,5
208,[CH][CH][CH][CH][CH],5
209,C1=CC=C2SC=CC2=C1,5
210,C1=CN=NC=C1,5
211,[CH][CH]C([CH][CH]C)CC,5
212,CC(C)CC(C)C,5
213,[CH]C(C)(C)C,5
214,C1=CC2=NC=CN2C=C1,5
215,CC(C)CCC(C)C,5
216,C1CCC1,5
217,[NH+],4
218,O=C1C=CNC(=S)N1,4
219,O=C1C=CNC2=C1C=CC=N2,4
220,C[CH][CH]C(C)CC,4
221,C1=CC=C2ON=CC2=C1,4
222,CC1CCCC1C,4
223,C[CH]CC(C)C,4
224,O=C1C=CC2=C(C=C3OC=CC3=C2)O1,4
225,[CH]CCCCC,4
226,CCC(CC)C(C)C,4
227,CC12[CH]CCC1C1CCC3C[CH]CCC3(C)C1C[CH]2,4
228,O=C1C=CC=CO1,4
229,[Na+],4
230,O=C1C=CC=CC=C1,4
231,C[CH]CCC(C)C1CCC(C)C(CC)C1C,4
232,CCCCC(C)C,4
233,[CH]CC(C)CCC,4
234,C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C43,4
235,CC1(C)CCCC1,4
236,C[CH]C1CCCCC1CC,4
237,[CH][CH][CH]C(C)C,4
238,[CH]1CC[CH]CCC1,4
239,C1CCCCCC1,4
240,[CH][CH][CH][CH][CH][CH][CH]C,4
241,CCC1[CH]CC2(C)CCCC2C1C[CH]C,4
242,CC(C)C1CCCC1,4
243,CCC(C)C1CCC2(C)CCCC2C1CC,4
244,[CH]1[CH][CH]C[CH]C[CH]1,4
245,CC[CH]C1CCC2(C)[CH]CCC2C1CC,4
246,CC[CH]C1CCC2(CC)CCCC2C1CC,4
247,C[CH]C(CC)CC,4
248,[CH][CH][CH][CH],4
249,CC[CH]C[CH]C,4
250,CCC1[CH]C[CH]C(CC)[CH]1,4
251,CCC(C)CC(C)CC,4
252,CC1(C)CCCCC1,4
253,O=C1C=COC=C1,4
254,O=C1C=CSN1,4
255,[CH][CH][CH]C,4
256,[CH][CH]CC,4
257,[CH][CH][CH],4
258,CCC(C)(C)C1CCCCC1,3
259,CC[CH]C1(C)CCCC(C)C1C,3
260,CCC(C)C1[CH]C2CCCC2(C)CC1,3
261,C[CH]CC1C(C(C)CC)CCC2(C)CCCC12,3
262,CC1CCCC(C)(C)C1,3
263,C[CH]C(C)CCC,3
264,C1=CC=C2NN=NC2=C1,3
265,CCC(C)C1CCC2C3[CH]CC4C[CH]CCC4(C)C3C[CH]C12C,3
266,C[CH]CC[CH]CC,3
267,C[CH]CCC(C)C1CCC2(C)[CH]CCC2C1C,3
268,C[CH]CCC[CH]C,3
269,[CH][CH]CCCC,3
270,[CH][CH]C[CH][CH]C,3
271,C1=CC2=NC=NN2C=N1,3
272,CC[CH]C1CCC2(C)CCCC2C1CC,3
273,C1=CC=C2OC=NC2=C1,3
274,CCC(C)C(C)(C)C,3
275,[Ba+2],3
276,[Fe+3],3
277,C1CCC(C2CCCCC2)CC1,3
278,[Pt],3
279,[CH]C1CCCCC1,3
280,CC1(C)CCCC(C)(C)C1,3
281,[S+],3
282,C[CH][CH]C(C)[CH]C,3
283,[CH]1[CH]CC[CH]C1,3
284,O=C1N=CNC2=C1N=CN2,3
285,O=C1NC(=O)C2=CC=CC=C2N1,3
286,[CH]C(C)[CH]C,3
287,C1=CC2=C(C=C1)SC=N2,3
288,C1=NN=N[N-]1,3
289,[CH]C(C)CC(C)[CH][CH][CH]C,3
290,O=C1NN=CC2=CC=CC=C12,3
291,O=C1NSC2=CC=CC=C12,3
292,O=C1OC=CO1,3
293,[CH]1[CH]C[CH]CC[CH]1,3
294,C1C2CC3CC1CC(C2)C3,3
295,CCCC(CC)CC,3
296,CCCC1(C)[CH]CCC1C(C)CCCC(C)C,3
297,[CH]CC(C)CC,3
298,[CH]CC1[CH][CH]CCC1C,3
299,C1=CC=C2SN=CC2=C1,3
300,C[CH][CH]CC(C)C,3
301,C1CCCCCCCCCCC1,3
302,[CH]C[CH],3
303,[CH]CC[CH]C,3
304,[Au],3
305,C1=CNN=N1,3
306,CCCC1C[CH][CH]CC1,3
307,C1=CSC=[N+]1,3
308,[Cu+2],3
309,[CH]1[CH]C1,3
310,[CH]CC1C(CC)[CH]CC2(C)C[CH]CC12,3
311,O=C1C=CN=C2C=CC=CN12,3
312,C1=C[N+]=C2C=CC=CC2=C1,3
313,C1CC2C3CCC(C3)C2C1,3
314,[Mg+2],2
315,[Ti],2
316,[Gd+3],2
317,[K+],2
318,[SiH],2
319,[N-]=[N+]=N,2
320,[Mn+2],2
321,CCC1[CH]CCC(C)C1CC,2
322,CCC1[CH]CCC2(C)[CH][CH]CC12,2
323,[N+]=N,2
324,[O],2
325,[Ni],2
326,[Na],2
327,[NH3+],2
328,[NH2+],2
329,CCCCCCC(C)CC,2
330,[Sb],2
331,C[CH]C[CH][CH]C,2
332,[Co+],2
333,O=C1C=NN=CN1,2
334,[CH]CC1C(CC)[CH]CC2(C)[CH]C(C)CC12,2
335,[CH]CC1C(CC)[CH]CC2(C)CCCC12,2
336,[CH]CC([CH]C1C(C)[CH]C[CH]C1C)C(C)C,2
337,O=C1C=CNC2=NC=CC=C12,2
338,O=C1C=CNC2=NC=NC=C12,2
339,O=C1C=CNC=C1,2
340,[CH]C([CH])C,2
341,O=C1C=CON1,2
342,O=C1C=NNC(=O)N1,2
343,[Ca+2],2
344,O=C1N=CN=CN1,2
345,O=C1N=CNC(=O)N1,2
346,O=C1NC2=CC=CC=C2S1,2
347,O=C1NN=NC2=CC=CC=C12,2
348,[CH]C(C)C1CCC(C)C(CCCC)C1[CH],2
349,[CH]1[CH][CH]C[CH]1,2
350,S=C1NC2=CC=CC=C2N1,2
351,[CH]1[CH]CCCC1,2
352,[CH]CC1CCCCC1C,2
353,O=C1C=CC1=O,2
354,O=C1C2=CC=CC=C2SC2=C1C=CC=C2,2
355,[CH]CC1[CH]CCCC1,2
356,CC[CH]C,2
357,[CH][CH][CH][CH]CC,2
358,CC[CH]C1CC[CH]C1C,2
359,[CH][CH][CH]CC,2
360,C[CH]C(C)C1[CH][CH]CCC1C,2
361,C[CH]C(C)CC1C[CH][CH]CC1,2
362,C[CH]C1CC[CH][CH]C1CC,2
363,C[CH]CC(C)[CH]C(C)[CH]C,2
364,C[CH]CCC(C)C1CCC(C)C(C)C1C,2
365,C[CH]C[CH]CC,2
366,C[CH]C[CH][CH]C([CH]C)CC[CH]C[CH]C,2
367,[CH][CH]C1CCCCC1,2
368,[CH][CH]C([CH])C,2
369,C[CH][CH][CH]CCCCCC,2
370,[CH]CC[CH],2
371,[CH]CCCC(C)[CH]CCC([CH]C)CC,2
372,[CH]CCC(C)[CH]CC,2
373,S=C1NC=CN1,2
374,[Zn],2
375,CC1CCC(C)C1(C)C,2
376,CCC(C)C1CCC(C)C(C)C1CC,2
377,CCC(C)CC(C)(C)C,2
378,C=[N-],2
379,C1=CN2N=CC=C2N=C1,2
380,CCC(C)C1CCC(C)C(CC)C1CC,2
381,CC12[CH]CCC1C1CCC3C[CH]CCC3(C)C1CC2,2
382,CCC(C)[CH]C(CC)C1CCCC1(C)C,2
383,C1=CC=C2C(=C1)C=CC1=C2C=CC=C1,2
384,CC12CCC(C1)C(C)(C)C2,2
385,C1=CC2=NON=C2C=C1,2
386,C1=NNN=N1,2
387,C1=CN2N=CN=C2N=C1,2
388,CCC(C)C(C)CC,2
389,CC1(C)[CH]CCC1C1[CH]C2(C)CC[CH]CC2CC1,2
390,CCC(C)(C)CC,2
391,C1=CN=C2N=CN=CC2=N1,2
392,C1=CC2=[N+]C=C[N+]=C2C=C1,2
393,C=[N+]=[N-],2
394,C1=CC=C2[S+]=C3C=CC=CC3=NC2=C1,2
395,C1=CC=C2[O+]=C3C=CC=CC3=CC2=C1,2
396,C1=CC=C2[N-]C=NC2=C1,2
397,C1CCC2C3[CH][CH]C(C3)C12,2
398,C1CCC2CCCCC2C1,2
399,C1=CC=C2N=CC=NC2=C1,2
400,C1CCC2CC[CH]C12,2
401,CC1CC2CC1C1CCC(C)C21,2
402,C1=CC=C2C=C3C(=CC2=C1)C=CC1=CC=CC=C13,2
403,C1=CC=C2SC=[N+]C2=C1,2
404,C1CCC(CC2CCCCC2)CC1,2
405,C1=CC=C2[N+]=CC=CC2=C1,2
406,C1CC[CH]CC1,2
407,C1C[CH][CH][CH]C1,2
408,C1=CC=C2C(=C1)NC1=C2C=CC=C1,2
409,C1=NC=C2N=CC=NC2=N1,2
410,CCC(C)C1[CH]C2CCC(CC)C2(C)CC1,2
411,C1CC2CCCC2C1,2
412,C1=CN=C2N=CNC2=C1,2
413,C1=CC=C2C=[N+]C=CC2=C1,2
414,CC(C)CC(C)[CH][CH]CC,2
415,CC(C)CCCC(C)C1[CH]CC2C3CCC4C[CH]CCC4(C)C3CCC12C,2
416,C1=CC2=CC=C(C=CN=CC=C3C=CC(=CC=N1)N3)N2,2
417,CC1C[CH]C(C(C)C)CC1,2
418,CC1CCC2C3CCC(C)C(C)(C)C3CCC12C,2
419,CCC12[CH]C(C)([CH]CC(C)[CH]C1C)C(C)CC2,2
420,CC1CC[CH]CC1,2
421,CCC1C(C)CCCC1C,2
422,CCC1CCCC1,2
423,CC(C)[CH]CCC(C)C,2
424,CC([CH])CCCC,2
425,CC([CH])C[CH]C,2
426,C1=NC=NC2=C1NC=N2,2
427,CC1C[CH]C1(C)C,2
428,C1=CON=[N+]1,2
429,CC1CCCCC1C,2
430,C1=CN[N+]=C1,2
431,CC1[CH]CCC2C1CCC1(C)[CH]CCC21,2
432,CC(C)C[CH][CH][CH]CC(C)C,2
433,CC1CCCC(C)C1,2
434,CC(C)CC[CH]C[CH],2
435,C1=NC=NS1,2
436,CC([CH])[CH][CH],2
437,C1=NC=C2N=CN=CC2=N1,2
438,C1CC1CC1CC1,1
439,[CH]1[CH][CH]CC[CH]1,1
440,[CH]C1CCC2C3CC[CH]C3(C)CCC2C1(C)C,1
441,[CH]CC(C)C1CCCCC1,1
442,C1=NC=NC2=C1C=NN2,1
443,C1=NC=C2NC=NC2=N1,1
444,C1=NC=NN=C1,1
445,C1CCC(CC2CCCC2)C1,1
446,C1C2C3C4CC5C3C1C5C24,1
447,[CH]C(CC)CCC,1
448,C1=NSN=C1,1
449,[CH]C1CC1,1
450,[CH]C(C)CC(C)[CH]C[CH]C,1
451,[CH]C(CC)C1C[CH][CH]C2[CH]C1[CH]C2,1
452,C1=NC=N[N-]1,1
453,[CH]C(CC)C(C)C,1
454,[CH]1[CH][CH]CCC[CH]1,1
455,C1=NC=[N+]N1,1
456,C1=NN=CN=N1,1
457,[CH]C([CH]C)CC,1
458,C1=NNC=N1,1
459,[CH]C([CH]C)CCCC,1
460,[CH]C12CC3CC(CC(C3)C1)C2,1
461,C1=N[N-]C=N1,1
462,[CH]C1C(C([CH])C)CCC(C)C1CCCC,1
463,C1=NON=C1,1
464,[CH]C(C)C1CC2CCCCC2(C)[CH]1,1
465,[CH]C(C)C(CC)CC,1
466,[CH]C1C(C)C(C(C)([CH]C)C(C)C(C)C)CCC1([CH])C,1
467,[CH]C1C(C)CCC2C(C)(C)CCCC12C,1
468,[CH]C1C([CH]C)CCC(C)C1CCCC,1
469,[CH]C(CC)CC,1
470,[CH]C(C)(CC)CCC,1
471,CCC1CCCC2(C)[CH][CH]CC12,1
472,[C-]=C,1
473,[CH]1[CH]C[CH]C[CH]1,1
474,O=[Mo](=O)=O,1
475,O=[Cr],1
476,O=[Cd],1
477,O=[Bi],1
478,CC(C)C1[CH]CCC2(C)CCCC12,1
479,CC(C)C1[CH][CH]C2(C)C[CH]CC2[CH]1,1
480,CC(C)CC(C)C(C)C,1
481,CC(C)CC(C)CC(C)CC(C)C,1
482,O=C1[N-]C2=C(N1)C(=O)NC(=O)N2,1
483,O=C1[N-]C(=O)NC(=O)N1,1
484,O=C1OC=NC2=CC=CC=C12,1
485,O=C1OC2=CC=CC=C2S1,1
486,O=C1OC2=CC=CC=C2C2=C1C1=CC=CC=C1O2,1
