,smiles,frequency
0,O,5403
1,C,4485
2,C=O,4356
3,C1=CC=CC=C1,4245
4,N,3814
5,CC,2293
6,Cl,1811
7,C=C,1492
8,CCC,1190
9,[O-],870
10,O=S=O,726
11,F,615
12,S,551
13,CCCC,550
14,C=N,406
15,[N+]=O,377
16,CC(C)C,358
17,CCCCC,325
18,C1=CC=NC=C1,289
19,[Na+],252
20,Br,242
21,C#N,225
22,[CH]C,220
23,[N+],178
24,O=P,175
25,O=S,169
26,CCCCCC,150
27,[CH][CH],116
28,CCCCCCCC,113
29,[Cl-],103
30,C1=CN=CN=C1,99
31,C1=CNC=N1,97
32,C1=CC=C2C=CC=CC2=C1,97
33,[CH]CC,91
34,CCCCCCC,91
35,I,88
36,[CH][CH][CH][CH][CH]C,87
37,C=S,85
38,C1=CC2=C(C=C1)NC=C2,85
39,C1=CNC=[N+]1,83
40,C1=CSC=C1,83
41,C1CCCCC1,82
42,C[CH]C,80
43,CCC(C)C,79
44,C1=CSC=N1,79
45,[Br-],74
46,[Si],70
47,[Na+].[Na+],70
48,C#C,70
49,C1=CC2=C(C=C1)C=CC=C2,67
50,C1=COC=C1,66
51,P=S,66
52,[CH]C(C)C,63
53,N=N,63
54,C1=CC=[N+]C=C1,62
55,[CH][CH][CH][CH]C,59
56,[CH]CCC,54
57,[N-],52
58,CCCCCCCCCCCC,52
59,[CH],51
60,CCCCC(C)CC,51
61,C1=CC=C2NC=CC2=C1,50
62,CCCC(C)C,49
63,[CH][CH]C,48
64,CCCCCCCCCC,47
65,C1=NC=NC=N1,47
66,N=O,46
67,[K+],40
68,C1=NC=NN1,39
69,C1CC1,36
70,CC(C)(C)C,36
71,C1=CC2=C(C=C1)NC=N2,33
72,C1=NN=NN1,31
73,CCCCCCCCC,31
74,CCCCCCCCCCC,30
75,C1=CNN=C1,30
76,CCC(C)CC,30
77,C1=CON=C1,29
78,CCCCCCCCCCCCCC,29
79,[S-],29
80,C1=NC=NC2=C1N=CN2,29
81,C[CH]CC,28
82,C1=CC=C2N=CC=CC2=C1,28
83,C[CH][CH][CH][CH]C,28
84,[I-],28
85,O=C1C=CNC(=O)N1,27
86,[Ca+2],27
87,C1CCCC1,26
88,[CH]CC(C)C,25
89,CCCCCCCCCCCCCCCC,25
90,C1=CN=CC=N1,25
91,C1=CNC=C1,24
